,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
290,Tyrese Martin,BKN,60,21.9,8.7,3.7,2.0,0.6,0.2,1.7,40.6,79.3,-0.83,-1.52,-0.92,-0.98,-1.30,-1.02,-0.13,-0.71,-0.07
291,Amir Coffey,LAC,72,24.2,9.7,2.2,1.1,0.6,0.1,1.4,47.1,89.1,-0.83,-1.35,-1.48,-1.46,-1.33,-1.12,-0.37,-0.02,0.46
292,Noah Clowney,BKN,46,22.7,9.1,3.9,0.9,0.5,0.5,1.9,35.8,83.8,-0.84,-1.45,-0.81,-1.56,-1.42,-0.44,0.11,-1.29,0.16
293,Johnny Juzang,UTA,64,19.8,8.9,2.9,1.1,0.6,0.1,1.8,42.9,84.9,-0.84,-1.48,-1.23,-1.46,-1.19,-1.06,0.07,-0.44,0.07
294,Ja'Kobe Walter,TOR,52,21.2,8.6,3.1,1.6,0.8,0.2,1.3,40.5,79.5,-0.84,-1.53,-1.15,-1.22,-0.62,-0.94,-0.53,-0.71,-0.06
295,Damion Baugh,CHA,15,24.7,7.3,3.3,3.7,1.0,0.1,0.8,32.3,86.7,-0.85,-1.78,-1.04,-0.14,-0.17,-1.05,-0.97,-1.80,0.15
296,Kyle Anderson,GSW/MIA,61,16.5,5.9,3.4,2.4,0.7,0.5,0.4,46.9,73.8,-0.85,-2.03,-1.03,-0.81,-1.07,-0.28,-1.36,0.01,-0.24
297,Thomas Bryant,IND/MIA,66,14.6,6.5,3.8,0.8,0.4,0.6,0.7,50.8,85.9,-0.85,-1.92,-0.86,-1.59,-1.67,-0.13,-1.05,0.28,0.12
298,Jamal Shead,TOR,75,19.5,7.1,1.5,4.2,0.8,0.1,1.0,40.5,76.8,-0.86,-1.81,-1.76,0.10,-0.76,-1.05,-0.82,-0.62,-0.14
299,Terance Mann,ATL/LAC,67,21.1,7.7,3.0,1.8,0.7,0.2,0.9,49.6,69.1,-0.86,-1.70,-1.19,-1.09,-0.95,-0.88,-0.88,0.22,-0.38
300,KJ Simpson,CHA,36,23.4,7.8,3.0,3.1,0.9,0.2,0.9,34.6,82.0,-0.86,-1.68,-1.17,-0.45,-0.32,-0.99,-0.86,-1.48,0.04
301,Jordan Hawkins,NOP,56,23.6,10.8,2.8,1.2,0.5,0.4,2.0,37.2,81.6,-0.86,-1.15,-1.25,-1.41,-1.38,-0.53,0.19,-1.42,0.05
302,Keaton Wallace,ATL,31,16.2,5.4,1.6,2.6,0.9,0.3,0.9,40.1,100.0,-0.87,-2.11,-1.73,-0.69,-0.42,-0.75,-0.90,-0.47,0.15
303,Dante Exum,DAL,20,18.6,8.7,1.7,2.8,0.6,0.2,1.2,47.8,74.2,-0.87,-1.52,-1.71,-0.60,-1.21,-1.02,-0.63,0.05,-0.30
304,Dean Wade,CLE,59,21.3,5.4,4.2,1.3,0.7,0.3,1.4,41.3,53.3,-0.87,-2.11,-0.69,-1.35,-0.92,-0.66,-0.42,-0.32,-0.46
305,Bismack Biyombo,SAS,28,18.8,5.1,5.6,1.1,0.6,0.8,0.0,58.8,40.0,-0.87,-2.16,-0.13,-1.44,-1.29,0.25,-1.77,0.70,-1.11
306,Mason Plumlee,PHX,74,17.5,4.5,6.1,1.8,0.4,0.6,0.0,61.9,64.8,-0.87,-2.27,0.07,-1.09,-1.62,-0.10,-1.77,0.63,-0.81
307,Marcus Garrett,CHA,4,19.8,7.0,1.5,3.3,0.8,0.5,0.8,40.7,75.0,-0.87,-1.83,-1.77,-0.38,-0.82,-0.36,-1.02,-0.59,-0.20
308,Moussa Diabate,CHA,71,17.5,5.7,6.2,0.8,0.6,0.6,0.0,59.6,59.5,-0.87,-2.06,0.08,-1.60,-1.09,-0.24,-1.77,0.73,-1.03
309,Ryan Rollins,MIL,56,14.6,6.2,1.9,1.9,0.8,0.3,0.9,48.7,80.0,-0.87,-1.96,-1.60,-1.07,-0.82,-0.73,-0.90,0.14,-0.05
310,AJ Green,MIL,73,22.8,7.4,2.4,1.5,0.5,0.1,2.1,42.9,81.5,-0.88,-1.75,-1.42,-1.26,-1.46,-1.12,0.35,-0.32,-0.04
311,Jeremiah Robinson-Earl,NOP,66,18.8,6.3,4.8,1.3,0.6,0.1,0.8,45.5,83.6,-0.88,-1.95,-0.47,-1.33,-1.24,-1.10,-0.93,-0.09,0.04
312,Julian Strawther,DEN,65,21.3,9.0,2.2,1.3,0.6,0.2,1.4,43.2,82.2,-0.88,-1.46,-1.50,-1.36,-1.21,-0.84,-0.33,-0.42,0.05
313,Kyle Lowry,PHI,35,18.9,3.9,1.9,2.7,0.9,0.3,0.8,35.0,81.8,-0.88,-2.37,-1.61,-0.63,-0.32,-0.71,-0.95,-0.49,0.00
314,Alex Reese,OKC/PHI,15,14.3,5.1,3.1,0.3,0.7,0.7,1.0,48.1,75.0,-0.88,-2.17,-1.12,-1.86,-1.04,-0.04,-0.78,0.11,-0.17
315,Jalen Wilson,BKN,79,25.7,9.5,3.4,1.8,0.5,0.1,1.5,39.7,81.8,-0.88,-1.38,-1.01,-1.08,-1.46,-1.18,-0.23,-0.83,0.09
316,Trey Lyles,SAC,69,19.6,6.5,4.6,1.2,0.6,0.3,1.2,42.0,70.0,-0.89,-1.91,-0.55,-1.40,-1.23,-0.67,-0.60,-0.36,-0.39
317,Jarace Walker,IND,75,15.9,6.1,3.1,1.5,0.7,0.3,1.0,47.2,66.7,-0.89,-1.98,-1.16,-1.26,-0.90,-0.67,-0.78,0.04,-0.41
318,Collin Gillespie,PHX,33,13.9,5.9,2.4,2.4,0.6,0.2,1.2,43.0,86.4,-0.89,-2.03,-1.43,-0.82,-1.12,-1.01,-0.59,-0.23,0.07
319,Javonte Green,CLE/NOP,68,18.5,5.1,3.2,0.8,1.0,0.5,0.7,42.9,72.4,-0.90,-2.17,-1.10,-1.58,-0.29,-0.44,-1.10,-0.20,-0.30
320,Jay Huff,MEM,64,11.7,6.9,2.0,0.6,0.3,0.9,1.3,51.5,78.6,-0.90,-1.85,-1.57,-1.70,-2.13,0.35,-0.51,0.32,-0.09
321,Garrison Mathews,ATL,47,17.7,7.5,1.9,1.3,0.6,0.3,1.8,39.7,82.1,-0.90,-1.74,-1.63,-1.36,-1.34,-0.70,0.03,-0.53,0.07
322,Cam Whitmore,HOU,51,16.2,9.4,3.0,1.0,0.6,0.3,1.3,44.4,75.0,-0.90,-1.41,-1.19,-1.51,-1.19,-0.82,-0.50,-0.32,-0.25
323,Svi Mykhailiuk,UTA,38,20.0,8.8,2.4,2.0,0.5,0.2,1.8,39.1,80.0,-0.91,-1.51,-1.43,-1.00,-1.47,-0.95,0.06,-0.91,-0.05
324,Kenrich Williams,OKC,69,16.4,6.3,3.5,1.4,0.6,0.1,1.0,48.3,71.8,-0.91,-1.95,-0.98,-1.29,-1.15,-1.03,-0.82,0.11,-0.19
325,Jarred Vanderbilt,LAL,36,16.1,4.1,5.1,1.1,1.0,0.3,0.3,48.8,55.6,-0.91,-2.35,-0.36,-1.42,-0.24,-0.78,-1.52,0.14,-0.78
326,Nicolas Batum,LAC,78,17.4,4.0,2.8,1.1,0.7,0.5,1.1,43.7,81.0,-0.91,-2.36,-1.26,-1.46,-1.04,-0.43,-0.65,-0.07,-0.05
327,Alec Burks,MIA,49,17.6,7.3,2.5,1.1,0.6,0.1,1.8,42.4,77.6,-0.92,-1.78,-1.36,-1.43,-1.29,-1.03,0.02,-0.33,-0.12
328,Cameron Payne,NYK,72,15.1,6.9,1.4,2.8,0.5,0.2,1.3,40.1,90.7,-0.92,-1.84,-1.79,-0.59,-1.37,-0.88,-0.48,-0.59,0.19
329,DaQuan Jeffries,CHA,47,22.7,6.7,2.9,1.1,0.6,0.5,1.2,40.5,80.0,-0.92,-1.88,-1.23,-1.43,-1.34,-0.30,-0.61,-0.55,-0.05
330,Dalano Banton,POR,67,16.7,8.3,2.0,2.4,0.6,0.5,1.1,39.1,72.8,-0.92,-1.59,-1.57,-0.81,-1.10,-0.34,-0.70,-0.86,-0.43
331,Paul Reed,DET,45,9.7,4.1,2.7,1.0,0.9,0.6,0.2,50.7,76.2,-0.93,-2.35,-1.28,-1.50,-0.52,-0.25,-1.60,0.22,-0.15
332,Daniel Theis,NOP,38,16.4,4.3,4.3,1.6,0.5,0.5,0.2,47.3,83.8,-0.93,-2.32,-0.66,-1.21,-1.54,-0.31,-1.54,0.07,0.06
333,Kevon Looney,GSW,76,15.1,4.5,6.1,1.6,0.6,0.5,0.0,51.4,56.6,-0.93,-2.27,0.04,-1.22,-1.20,-0.38,-1.75,0.28,-0.95
334,Ryan Dunn,PHX,74,19.0,6.9,3.6,0.8,0.6,0.5,1.1,43.0,48.7,-0.93,-1.84,-0.94,-1.61,-1.23,-0.28,-0.67,-0.36,-0.55
335,Bol Bol,PHX,36,12.5,6.8,2.9,0.6,0.3,0.7,0.9,52.5,76.9,-0.94,-1.87,-1.22,-1.69,-2.13,0.01,-0.89,0.40,-0.12
336,Orlando Robinson,SAC/TOR,44,17.5,6.9,5.0,1.8,0.4,0.4,0.4,44.4,77.1,-0.94,-1.85,-0.38,-1.12,-1.77,-0.61,-1.39,-0.21,-0.17
337,Eric Gordon,PHI,39,19.7,6.8,1.2,1.7,0.7,0.3,1.4,42.6,75.0,-0.94,-1.86,-1.90,-1.16,-1.04,-0.72,-0.34,-0.29,-0.23
338,Marcus Sasser,DET,57,14.2,6.6,1.2,2.3,0.6,0.1,1.0,46.3,84.3,-0.95,-1.90,-1.89,-0.83,-1.09,-1.17,-0.76,-0.03,0.07
339,Ajay Mitchell,OKC,36,16.6,6.5,1.9,1.8,0.7,0.1,0.6,49.5,82.9,-0.95,-1.92,-1.62,-1.11,-0.97,-1.09,-1.14,0.19,0.04
340,Tristan da Silva,ORL,74,22.0,7.2,3.3,1.5,0.4,0.2,1.1,41.2,87.3,-0.95,-1.79,-1.05,-1.23,-1.62,-0.84,-0.69,-0.53,0.14
341,KJ Martin,PHI/UTA,43,21.1,6.4,2.9,1.1,0.4,0.5,0.3,55.2,78.7,-0.95,-1.94,-1.21,-1.44,-1.75,-0.34,-1.42,0.56,-0.09
342,Trayce Jackson-Davis,GSW,63,15.3,6.5,4.9,1.7,0.4,0.6,0.0,57.6,57.8,-0.96,-1.92,-0.41,-1.17,-1.83,-0.16,-1.77,0.72,-1.10
343,Nick Smith,CHA,60,22.8,9.9,2.1,2.4,0.3,0.1,1.7,39.1,93.5,-0.96,-1.32,-1.52,-0.79,-2.04,-1.11,-0.04,-1.10,0.26
344,Trevelin Queen,ORL,31,13.9,4.9,1.7,1.2,1.0,0.3,0.7,38.1,85.7,-0.96,-2.20,-1.68,-1.38,-0.17,-0.69,-1.06,-0.55,0.06
345,Vince Williams,MEM,27,18.5,6.6,3.6,2.0,0.4,0.3,1.0,40.1,79.2,-0.96,-1.89,-0.93,-0.98,-1.62,-0.81,-0.81,-0.59,-0.07
346,Kai Jones,DAL/LAC,40,11.7,5.0,3.1,0.6,0.4,0.6,0.0,79.8,71.9,-0.96,-2.19,-1.13,-1.68,-1.80,-0.22,-1.75,1.30,-0.24
347,Ben Sheppard,IND,63,19.5,5.3,2.8,1.3,0.6,0.2,1.1,41.8,88.9,-0.97,-2.14,-1.25,-1.32,-1.21,-0.88,-0.70,-0.29,0.06
348,Bones Hyland,LAC/MIN,24,9.9,6.2,1.0,1.3,0.8,0.2,1.3,39.8,88.5,-0.97,-1.97,-1.95,-1.33,-0.82,-0.99,-0.44,-0.46,0.23
349,Oshae Brissett,PHI,6,23.8,8.7,3.7,0.7,0.7,0.5,1.0,48.7,57.1,-0.97,-1.53,-0.91,-1.66,-1.04,-0.36,-0.78,0.14,-1.61
350,Dalton Knecht,LAL,78,19.1,9.1,2.8,0.8,0.3,0.1,1.6,46.1,76.2,-0.97,-1.46,-1.27,-1.57,-1.98,-1.11,-0.14,-0.11,-0.17
351,Neemias Queta,BOS,62,13.9,5.0,3.8,0.7,0.3,0.7,0.0,65.0,75.4,-0.98,-2.19,-0.86,-1.63,-2.02,-0.02,-1.77,0.87,-0.18
352,Isaac Okoro,CLE,55,19.2,6.1,2.4,1.2,0.6,0.3,1.0,46.4,71.7,-0.98,-1.98,-1.43,-1.38,-1.26,-0.75,-0.76,-0.01,-0.26
353,Mo Bamba,LAC/NOP,33,12.5,4.2,4.4,0.5,0.3,0.9,0.5,46.4,70.4,-0.98,-2.33,-0.62,-1.72,-2.07,0.47,-1.32,0.03,-0.29
354,Jeff Dowtin,PHI,41,15.2,7.0,1.5,1.9,0.6,0.3,0.7,48.7,73.3,-0.99,-1.84,-1.79,-1.05,-1.25,-0.75,-1.09,0.14,-0.26
355,Kessler Edwards,DAL,40,15.3,4.2,2.9,1.1,0.5,0.5,0.6,49.6,92.3,-0.99,-2.33,-1.23,-1.47,-1.54,-0.36,-1.22,0.18,0.06
356,Quenton Jackson,IND,28,13.6,5.8,1.6,1.9,0.8,0.2,0.5,47.5,77.5,-0.99,-2.04,-1.74,-1.05,-0.82,-0.96,-1.24,0.07,-0.14
357,Charles Bassey,SAS,36,10.5,4.4,4.2,0.5,0.4,0.8,0.0,58.1,63.6,-0.99,-2.30,-0.69,-1.76,-1.76,0.27,-1.77,0.56,-0.50
358,Gabe Vincent,LAL,72,21.2,6.4,1.3,1.4,0.7,0.2,1.5,40.0,71.4,-0.99,-1.94,-1.86,-1.31,-0.93,-0.96,-0.26,-0.55,-0.14
359,Jamison Battle,TOR,59,17.6,7.1,2.7,0.9,0.3,0.2,1.8,42.9,88.9,-1.00,-1.81,-1.30,-1.54,-2.03,-0.98,0.00,-0.32,0.02
360,Jalen Hood-Schifino,LAL/PHI,15,20.9,7.1,1.8,2.5,0.3,0.5,0.9,37.8,85.7,-1.01,-1.81,-1.65,-0.77,-1.91,-0.42,-0.84,-0.84,0.20
361,Moses Brown,DAL/IND,13,9.2,5.8,3.4,0.2,0.5,0.3,0.0,69.4,72.7,-1.01,-2.03,-1.02,-1.91,-1.58,-0.72,-1.77,1.21,-0.23
362,Sandro Mamukelashvili,SAS,61,11.2,6.3,3.1,0.8,0.4,0.3,1.0,50.2,74.1,-1.01,-1.95,-1.15,-1.60,-1.84,-0.77,-0.79,0.23,-0.21
363,Micah Potter,UTA,38,18.5,4.3,4.3,0.8,0.4,0.4,0.8,42.2,85.0,-1.01,-2.32,-0.66,-1.59,-1.82,-0.61,-0.96,-0.18,0.02
364,A.J. Lawson,TOR,26,18.7,9.1,3.3,1.2,0.5,0.2,1.3,42.1,68.3,-1.02,-1.46,-1.06,-1.40,-1.47,-0.86,-0.51,-0.52,-0.87
365,Jaylen Sims,CHA,6,18.5,7.0,1.0,2.0,0.5,0.2,1.0,42.9,80.0,-1.04,-1.83,-1.97,-1.00,-1.47,-0.99,-0.78,-0.23,-0.02
366,Kevin Love,MIA,23,10.9,5.3,4.1,1.0,0.7,0.2,1.0,35.7,69.6,-1.04,-2.13,-0.75,-1.52,-1.08,-0.97,-0.73,-0.75,-0.36
367,John Konchar,MEM,46,12.1,2.4,3.3,0.9,0.7,0.3,0.5,45.1,87.5,-1.04,-2.64,-1.07,-1.54,-1.08,-0.73,-1.27,0.04,-0.02
368,Ronald Holland,DET,81,15.7,6.4,2.7,1.0,0.6,0.2,0.4,47.4,75.4,-1.04,-1.93,-1.30,-1.49,-1.20,-0.90,-1.33,0.04,-0.24
369,Oso Ighodaro,PHX,61,17.1,4.2,3.6,1.2,0.5,0.5,0.0,60.4,58.0,-1.05,-2.33,-0.92,-1.41,-1.58,-0.40,-1.77,0.63,-0.59
370,AJ Johnson,MIL/WAS,29,22.0,7.6,2.0,2.6,0.4,0.1,0.8,38.5,86.5,-1.05,-1.72,-1.56,-0.69,-1.70,-1.10,-0.95,-0.88,0.21
371,Daeqwon Plowden,ATL,6,11.7,7.2,1.8,0.3,0.0,0.0,1.5,64.0,100.0,-1.06,-1.80,-1.64,-1.82,-2.78,-1.30,-0.28,1.01,0.14
372,Seth Curry,CHA,68,15.6,6.5,1.7,0.9,0.4,0.1,1.2,47.8,84.6,-1.06,-1.91,-1.71,-1.55,-1.74,-1.11,-0.56,0.08,0.02
373,Jaden Hardy,DAL,57,15.9,8.7,1.6,1.4,0.5,0.1,1.3,43.5,69.8,-1.06,-1.52,-1.75,-1.28,-1.50,-1.13,-0.44,-0.38,-0.50
374,Josh Richardson,MIA,8,18.6,4.0,1.5,1.5,1.0,0.1,0.8,28.9,100.0,-1.07,-2.36,-1.77,-1.25,-0.17,-1.06,-1.02,-1.15,0.24
375,Jamaree Bouyea,MIL,5,12.4,3.4,1.0,2.0,0.8,0.4,0.2,50.0,66.7,-1.07,-2.47,-1.97,-1.00,-0.69,-0.55,-1.57,0.18,-0.52
376,Colin Castleton,MEM/PHI/TOR,26,16.5,4.7,4.7,1.1,0.3,0.4,0.1,46.9,76.3,-1.07,-2.23,-0.51,-1.46,-1.98,-0.57,-1.70,0.05,-0.20
377,Antonio Reeves,NOP,44,15.0,6.9,1.4,0.9,0.5,0.1,1.2,45.6,80.0,-1.08,-1.84,-1.80,-1.55,-1.53,-1.13,-0.62,-0.10,-0.05
378,Simone Fontecchio,DET,75,16.5,5.9,2.9,0.9,0.4,0.2,1.0,40.2,83.3,-1.08,-2.02,-1.23,-1.56,-1.70,-1.00,-0.76,-0.44,0.07
379,Tidjane Salaun,CHA,60,20.8,5.9,4.7,1.2,0.5,0.2,1.0,33.0,71.3,-1.08,-2.03,-0.52,-1.38,-1.52,-0.86,-0.81,-1.09,-0.44
380,Reed Sheppard,HOU,52,12.6,4.4,1.5,1.4,0.7,0.3,0.9,35.1,81.3,-1.08,-2.29,-1.77,-1.27,-1.02,-0.68,-0.85,-0.71,-0.05
381,Cam Reddish,LAL,33,17.8,3.2,2.0,0.7,1.0,0.3,0.4,40.4,61.5,-1.08,-2.51,-1.57,-1.64,-0.17,-0.73,-1.38,-0.19,-0.48
382,Ricky Council,PHI,73,17.2,7.3,2.9,1.3,0.4,0.2,0.8,38.2,80.4,-1.09,-1.78,-1.20,-1.33,-1.64,-0.96,-1.02,-0.77,0.00
383,Delon Wright,MIL/NYK,40,15.9,3.1,1.7,1.9,0.9,0.3,0.5,34.4,60.0,-1.09,-2.52,-1.71,-1.03,-0.50,-0.73,-1.27,-0.51,-0.43
384,Jabari Walker,POR,60,12.5,5.2,3.5,0.6,0.6,0.1,0.5,51.5,69.0,-1.09,-2.15,-0.97,-1.68,-1.34,-1.11,-1.31,0.29,-0.43
385,Drew Eubanks,LAC/UTA,61,12.2,4.6,3.7,0.9,0.2,0.6,0.0,59.3,66.2,-1.09,-2.26,-0.90,-1.55,-2.27,-0.09,-1.72,0.60,-0.52
386,Vasilije Micic,CHA/PHX,41,19.1,6.6,2.2,3.1,0.4,0.0,1.1,34.8,82.9,-1.09,-1.91,-1.51,-0.44,-1.82,-1.30,-0.68,-1.13,0.04
387,Jaylen Clark,MIN,40,13.0,4.1,1.3,0.7,0.9,0.1,0.6,46.7,78.4,-1.09,-2.35,-1.84,-1.67,-0.43,-1.20,-1.22,0.05,-0.09
388,Colby Jones,SAC/WAS,39,13.2,4.0,2.2,1.1,0.7,0.3,0.4,45.7,65.7,-1.10,-2.36,-1.48,-1.43,-1.04,-0.67,-1.36,0.00,-0.43
389,Wendell Moore,CHA/DET,36,13.9,4.2,2.6,1.2,0.6,0.1,0.4,46.8,81.8,-1.10,-2.33,-1.32,-1.41,-1.33,-1.04,-1.38,0.05,-0.02
390,Tyson Etienne,BKN,7,21.6,7.9,1.3,1.7,0.4,0.1,1.9,32.7,80.0,-1.10,-1.67,-1.86,-1.14,-1.66,-1.03,0.08,-1.49,-0.04
391,Pat Connaughton,MIL,41,14.8,5.3,2.7,1.7,0.2,0.3,0.6,46.9,77.4,-1.10,-2.14,-1.31,-1.14,-2.21,-0.79,-1.14,0.03,-0.11
392,Gui Santos,GSW,56,13.6,4.1,3.1,1.4,0.4,0.2,0.6,45.8,69.0,-1.10,-2.35,-1.15,-1.28,-1.61,-0.96,-1.17,0.01,-0.30
393,Lindy Waters,DET/GSW,52,15.0,4.9,2.1,1.0,0.5,0.2,1.2,36.9,72.7,-1.10,-2.20,-1.53,-1.49,-1.42,-0.90,-0.54,-0.63,-0.11
394,Shake Milton,BKN/LAL,57,14.6,5.5,1.8,1.8,0.4,0.1,0.7,45.3,79.7,-1.11,-2.09,-1.64,-1.10,-1.64,-1.17,-1.11,-0.07,-0.06
395,David Roddy,ATL/HOU/PHI,33,12.4,4.6,2.5,1.1,0.4,0.3,0.6,45.6,76.9,-1.11,-2.25,-1.36,-1.46,-1.67,-0.79,-1.20,-0.02,-0.12
396,Torrey Craig,BOS/CHI,26,12.0,4.2,2.8,0.7,0.3,0.5,0.9,42.2,66.7,-1.12,-2.34,-1.25,-1.67,-1.98,-0.43,-0.85,-0.17,-0.24
397,Aaron Holiday,HOU,62,12.8,5.5,1.3,1.3,0.3,0.2,1.2,43.7,82.9,-1.13,-2.10,-1.87,-1.33,-1.98,-0.96,-0.61,-0.16,0.00
398,Malachi Flynn,CHA,4,11.0,4.0,1.8,1.8,0.8,0.0,0.3,38.5,83.3,-1.13,-2.36,-1.67,-1.12,-0.82,-1.30,-1.52,-0.32,0.11
399,GG Jackson,MEM,29,15.8,7.2,3.2,1.0,0.4,0.2,1.1,37.2,72.5,-1.13,-1.79,-1.11,-1.49,-1.70,-0.97,-0.67,-0.94,-0.35
400,Dalen Terry,CHI,73,13.5,4.5,1.7,1.3,0.6,0.2,0.5,44.8,71.0,-1.13,-2.28,-1.69,-1.33,-1.21,-0.91,-1.27,-0.06,-0.30
401,Jaylen Martin,BKN/WAS,16,15.0,4.9,2.8,1.1,0.6,0.0,0.4,41.9,90.0,-1.13,-2.21,-1.28,-1.46,-1.31,-1.30,-1.34,-0.29,0.13
402,Jamal Cain,NOP,37,13.6,5.3,2.3,0.6,0.6,0.2,0.7,43.0,68.0,-1.13,-2.13,-1.46,-1.69,-1.16,-0.84,-1.07,-0.19,-0.52
403,Andre Jackson,MIL,67,14.6,3.4,2.7,1.2,0.5,0.2,0.4,47.7,50.0,-1.14,-2.47,-1.29,-1.38,-1.46,-0.91,-1.33,0.10,-0.38
404,Steven Adams,HOU,57,13.9,3.9,5.7,1.2,0.4,0.5,0.0,54.5,46.2,-1.14,-2.37,-0.09,-1.42,-1.77,-0.37,-1.77,0.37,-1.68
405,Monte Morris,PHX,45,12.7,5.2,1.5,1.6,0.4,0.1,0.7,42.6,85.7,-1.14,-2.15,-1.78,-1.19,-1.62,-1.17,-1.09,-0.23,0.11
406,DeAndre Jordan,DEN,56,12.3,3.7,5.1,0.9,0.3,0.5,0.0,65.0,42.2,-1.14,-2.41,-0.36,-1.52,-2.03,-0.39,-1.77,0.70,-1.33
407,Jalen Pickett,DEN,49,13.5,4.1,1.4,2.2,0.4,0.1,0.8,42.8,75.0,-1.14,-2.35,-1.79,-0.91,-1.77,-1.11,-0.96,-0.16,-0.09
408,Julian Phillips,CHI,79,14.2,4.6,2.1,0.5,0.5,0.3,0.6,44.6,78.9,-1.14,-2.25,-1.52,-1.75,-1.52,-0.82,-1.14,-0.07,-0.08
409,Talen Horton-Tucker,CHI,58,12.4,6.5,1.7,1.4,0.4,0.2,0.7,45.7,73.5,-1.14,-1.91,-1.68,-1.28,-1.83,-0.94,-1.07,-0.07,-0.36
410,Yuri Collins,GSW,2,8.0,1.0,1.5,2.0,1.0,0.0,0.0,33.3,0.0,-1.14,-2.90,-1.77,-1.00,-0.17,-1.30,-1.77,-0.18,-0.07
411,Bruno Fernando,TOR,17,8.5,3.4,3.0,1.1,0.2,0.5,0.0,53.1,75.0,-1.15,-2.47,-1.18,-1.46,-2.17,-0.30,-1.77,0.31,-0.13
412,Jock Landale,HOU,42,11.8,4.8,3.3,0.9,0.3,0.2,0.3,53.3,67.5,-1.15,-2.23,-1.07,-1.55,-1.97,-0.85,-1.51,0.37,-0.40
413,Landry Shamet,NYK,50,15.2,5.7,1.2,0.5,0.5,0.0,1.2,46.1,66.7,-1.15,-2.06,-1.88,-1.72,-1.58,-1.22,-0.54,-0.03,-0.20
414,Elijah Harkless,UTA,10,13.7,3.2,2.1,0.8,1.0,0.1,0.7,31.4,50.0,-1.16,-2.51,-1.53,-1.59,-0.17,-1.11,-1.07,-0.69,-0.59
415,Tony Bradley,IND,14,8.1,4.4,3.0,0.4,0.1,0.6,0.1,64.4,33.3,-1.16,-2.30,-1.18,-1.78,-2.41,-0.09,-1.70,0.83,-0.65
416,P.J. Tucker,NYK,3,19.3,3.0,2.7,0.0,0.3,0.3,1.0,42.9,0.0,-1.16,-2.54,-1.31,-1.99,-1.91,-0.67,-0.78,-0.05,-0.07
417,Cory Joseph,ORL,50,12.2,3.5,1.5,1.4,0.5,0.1,0.8,40.3,77.8,-1.17,-2.45,-1.78,-1.28,-1.42,-1.15,-0.99,-0.22,-0.08
418,Maxi Kleber,DAL,34,18.7,3.0,2.8,1.3,0.3,0.5,0.4,38.5,76.2,-1.17,-2.54,-1.26,-1.36,-2.09,-0.36,-1.39,-0.26,-0.12
419,Cam Spencer,MEM,25,10.0,4.2,1.2,1.4,0.4,0.0,0.8,41.5,100.0,-1.17,-2.32,-1.89,-1.32,-1.84,-1.22,-1.01,-0.19,0.40
420,Reggie Jackson,PHI,31,12.4,4.4,1.4,1.5,0.5,0.1,0.8,39.1,77.8,-1.18,-2.29,-1.83,-1.27,-1.43,-1.12,-0.97,-0.43,-0.08
421,Alondes Williams,DET,1,4.0,5.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,-1.18,-2.19,-2.37,-1.49,-2.78,-1.30,-0.78,1.54,-0.07
422,Cole Swider,DET/TOR,10,17.0,5.9,2.7,0.3,0.4,0.2,1.5,34.9,0.0,-1.18,-2.02,-1.30,-1.84,-1.74,-0.92,-0.28,-1.05,-0.30
423,Pelle Larsson,MIA,55,14.2,4.6,1.7,1.2,0.6,0.1,0.6,43.8,67.2,-1.18,-2.26,-1.70,-1.40,-1.26,-1.06,-1.19,-0.11,-0.47
424,Ousmane Dieng,OKC,37,10.9,3.8,2.2,0.8,0.5,0.2,0.6,43.2,68.8,-1.18,-2.39,-1.50,-1.57,-1.58,-0.94,-1.15,-0.12,-0.20
425,Reece Beekman,BKN/GSW,36,13.1,2.6,1.1,1.8,0.9,0.1,0.2,32.7,76.2,-1.18,-2.62,-1.94,-1.12,-0.39,-1.19,-1.58,-0.51,-0.12
426,Jeff Green,HOU,32,12.3,5.4,1.8,0.6,0.2,0.1,0.9,50.4,80.8,-1.18,-2.12,-1.65,-1.68,-2.29,-1.06,-0.87,0.23,-0.03
427,Dariq Whitehead,BKN,20,12.3,5.7,1.5,0.6,0.3,0.1,1.7,40.6,60.0,-1.18,-2.06,-1.79,-1.69,-2.00,-1.20,-0.13,-0.39,-0.21
428,Zeke Nnaji,DEN,57,10.7,3.2,1.6,0.4,0.4,0.7,0.3,49.6,61.4,-1.19,-2.50,-1.74,-1.79,-1.64,-0.04,-1.48,0.17,-0.48
429,Baylor Scheierman,BOS,31,12.4,3.6,2.1,1.1,0.5,0.1,0.8,35.5,75.0,-1.19,-2.43,-1.54,-1.46,-1.35,-1.18,-0.94,-0.51,-0.12
430,Lester Quinones,NOP/PHI,14,13.3,6.1,1.4,1.7,0.2,0.1,0.9,39.7,84.6,-1.19,-1.98,-1.83,-1.14,-2.22,-1.03,-0.85,-0.54,0.08
431,Branden Carlson,OKC,32,7.7,3.8,1.7,0.4,0.2,0.7,0.7,44.3,77.8,-1.19,-2.40,-1.70,-1.77,-2.37,-0.06,-1.09,-0.04,-0.09
