,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T277,Aaron Holiday,HOU,G,78,16.3,6.6,1.6,1.8,0.5,0.1,1.1,44.6,92.1,0.7,2.8,38.7,2.4,5.3,0.7,0.8,0.0,0.0,1.6,12.3
T281,Chimezie Metu,FA,C,51,16.8,6.5,3.8,0.9,0.8,0.3,0.5,50.4,90.6,1.0,1.8,29.8,2.4,4.8,1.1,1.3,0.0,0.0,1.4,14.9
T281,David Duke,PHO,G,4,12.8,6.5,2.5,1.3,0.5,0.0,0.8,55.6,100.0,0.8,1.5,50.0,2.5,4.5,0.8,0.8,0.0,0.0,1.0,12.1
T281,Jeff Green,HOU,F,78,16.7,6.5,2.3,0.9,0.2,0.4,0.7,45.6,81.9,0.6,2.1,33.1,2.1,4.7,1.6,1.9,0.0,0.0,1.3,11.8
T281,David Roddy,TOR,F,65,18.1,6.5,3.2,1.2,0.4,0.2,0.7,40.3,69.1,0.9,2.5,29.3,2.5,6.3,0.7,1.0,0.0,0.0,1.1,13.2
T281,Jordan Goodwin,PHO,G,57,18.5,6.5,4.4,2.7,0.8,0.3,0.7,36.9,74.6,1.0,2.5,29.8,2.5,6.7,0.8,1.0,0.1,0.0,1.3,18.4
T286,Marcus Morris,FA,F,49,16.6,6.4,2.7,0.7,0.3,0.3,1.0,43.9,81.8,0.6,2.4,40.3,2.4,5.4,0.7,0.9,0.0,0.0,1.5,11.9
T286,Kyle Anderson,UTA,F,79,22.5,6.4,3.5,4.2,0.9,0.6,0.1,46.0,70.8,1.2,0.6,22.9,2.5,5.5,1.2,1.7,0.0,0.0,1.6,20.2
T286,Chris Boucher,BOS,F,50,14.1,6.4,4.1,0.5,0.3,0.5,0.6,50.7,77.2,0.6,1.9,33.0,2.2,4.3,1.4,1.8,0.0,0.0,1.4,13.8
T289,Jared Butler,PHO,G,40,14.1,6.3,1.5,3.2,0.7,0.2,0.6,48.8,86.1,1.3,2.0,30.8,2.5,5.0,0.8,0.9,0.0,0.0,1.5,14.3
T289,Bruno Fernando,FA,C,45,15.2,6.3,4.3,1.0,0.6,0.6,0.0,58.3,66.7,1.0,0.1,0.0,2.4,4.2,1.4,2.1,0.0,0.0,2.4,15.5
T289,Daniel Theis,FA,C,60,16.9,6.3,4.1,1.0,0.4,0.9,0.4,53.2,76.0,0.7,1.2,36.6,2.6,4.9,0.6,0.8,0.0,0.0,2.1,15.6
T292,Patrick Beverley,FA,G,73,20.1,6.2,3.3,2.9,0.6,0.4,0.8,41.7,82.2,0.9,2.5,33.7,2.2,5.2,1.0,1.2,0.0,0.0,1.8,16.6
T292,Jaylen Nowell,FA,G,13,16.3,6.2,1.8,1.5,0.3,0.2,0.5,43.6,77.8,0.5,2.2,20.7,2.6,6.0,0.5,0.7,0.0,0.0,1.2,11.5
T292,Keon Johnson,FA,G,5,12.2,6.2,1.4,0.6,0.6,0.2,0.8,38.1,91.7,1.0,2.0,40.0,1.6,4.2,2.2,2.4,0.0,0.0,1.0,10.2
T292,Jae Crowder,FA,F,50,23.1,6.2,3.2,1.3,0.8,0.2,1.2,42.2,72.2,0.5,3.3,34.9,2.3,5.4,0.5,0.7,0.0,0.0,1.5,14.4
T296,Ben Simmons,FA,F,15,23.9,6.1,7.9,5.7,0.8,0.6,0.0,58.1,40.0,1.8,0.0,0.0,2.9,4.9,0.4,1.0,0.2,0.0,2.4,26.7
T296,Haywood Highsmith,BKN,F,66,20.7,6.1,3.2,1.1,0.8,0.5,1.2,46.5,63.9,0.5,2.9,39.6,2.3,5.0,0.3,0.5,0.0,0.0,1.8,14.8
T296,Kris Murray,POR,F,62,21.7,6.1,3.6,1.3,0.9,0.3,0.8,39.6,66.1,0.9,3.0,26.8,2.3,5.9,0.6,0.9,0.0,0.0,1.5,15.0
T296,Vit Krejci,ATL,G,22,24.6,6.1,2.4,2.3,0.6,0.3,1.3,49.0,83.3,0.9,3.1,41.2,2.3,4.7,0.2,0.3,0.0,0.0,2.2,14.1
300,Zavier Simpson,FA,G,7,23.1,6.0,2.9,3.6,1.0,0.4,0.7,31.5,75.0,1.4,2.4,29.4,2.4,7.7,0.4,0.6,0.0,0.0,1.6,17.6
T301,Tosan Evbuomwan,NYK,F,17,21.5,5.9,3.5,0.9,0.4,0.3,0.7,50.7,68.0,0.5,1.9,37.5,2.1,4.2,1.0,1.5,0.0,0.0,1.4,13.0
T301,Nick Smith,LAL,G,51,14.2,5.9,1.4,1.2,0.2,0.1,1.2,39.1,86.7,0.8,2.9,43.2,2.2,5.7,0.3,0.3,0.0,0.0,1.1,9.6
T301,Justin Champagnie,WAS,F,15,15.7,5.9,3.5,1.3,0.7,0.6,0.9,41.0,80.0,0.7,3.0,28.9,2.1,5.2,0.8,1.0,0.0,0.0,0.9,15.2
T304,Ochai Agbaji,TOR,F,78,21.0,5.8,2.8,1.1,0.6,0.6,0.8,41.1,66.1,0.8,2.7,29.4,2.3,5.6,0.5,0.7,0.0,0.0,1.5,13.4
T304,Noah Clowney,BKN,F,23,16.1,5.8,3.5,0.8,0.3,0.7,0.5,53.8,70.0,0.7,1.4,36.4,2.2,4.0,0.9,1.3,0.0,0.0,1.1,13.7
T304,Dyson Daniels,ATL,G,61,22.3,5.8,3.9,2.7,1.4,0.4,0.7,44.7,64.2,1.0,2.2,31.1,2.3,5.1,0.6,0.9,0.0,0.0,1.7,18.9
T307,Danilo Gallinari,FA,F,49,12.9,5.7,2.2,1.1,0.3,0.1,0.6,43.7,85.7,0.5,1.9,32.3,1.7,3.9,1.7,2.0,0.0,0.0,1.0,10.8
T307,Thomas Bryant,CLE,C,38,11.6,5.7,3.7,0.6,0.3,0.4,0.1,57.7,87.2,0.6,0.6,18.2,2.3,3.9,1.1,1.2,0.1,0.0,1.2,12.6
T307,Torrey Craig,FA,F,53,19.8,5.7,4.1,1.1,0.6,0.4,1.1,43.0,75.0,0.6,2.9,39.2,2.0,4.7,0.5,0.7,0.0,0.0,2.1,14.6
T307,Larry Nance,CLE,C,61,19.9,5.7,5.0,1.9,1.0,0.3,0.4,57.3,77.0,0.8,1.1,41.5,2.3,4.0,0.8,1.0,0.0,0.0,1.6,17.7
T311,Pat Connaughton,CHA,F,76,22.0,5.6,3.1,2.1,0.5,0.3,1.1,43.5,75.9,0.6,3.1,34.5,2.0,4.6,0.6,0.8,0.0,0.0,1.3,14.3
T311,Mitchell Robinson,NYK,C,31,24.7,5.6,8.5,0.6,1.2,1.1,0.0,57.5,40.9,0.8,0.0,0.0,2.4,4.1,0.9,2.1,0.1,0.0,1.8,22.8
T311,Craig Porter,CLE,G,51,12.8,5.6,2.1,2.3,0.4,0.3,0.2,50.9,73.2,0.9,0.7,35.3,2.3,4.5,0.8,1.1,0.0,0.0,0.8,12.9
T314,Malachi Flynn,FA,G,69,12.7,5.5,1.7,1.9,0.6,0.1,0.8,41.8,73.2,0.9,2.4,33.1,2.0,4.7,0.8,1.0,0.0,0.0,1.0,11.4
T314,Doug McDermott,SAC,F,64,14.1,5.5,0.9,1.1,0.3,0.0,1.5,43.3,57.9,0.4,3.6,41.0,1.9,4.4,0.2,0.3,0.0,0.0,1.0,8.6
T314,Dexter Dennis,SAC,G,4,7.5,5.5,2.3,1.0,0.0,0.3,0.3,52.6,33.3,0.8,2.0,12.5,2.5,4.8,0.3,0.8,0.0,0.0,0.3,9.7
T314,Neemias Queta,BOS,C,28,11.8,5.5,4.4,0.7,0.5,0.8,0.0,64.4,71.4,0.5,0.0,0.0,2.4,3.7,0.7,1.0,0.1,0.0,1.8,15.0
T314,Gary Payton,GSW,G,44,15.5,5.5,2.6,1.1,0.9,0.4,0.5,56.3,60.9,0.6,1.3,36.4,2.3,4.2,0.3,0.5,0.0,0.0,1.8,13.4
T319,Keon Ellis,SAC,G,57,17.1,5.4,2.2,1.5,0.9,0.5,1.2,46.1,74.3,0.6,2.9,41.7,1.9,4.1,0.5,0.6,0.0,0.0,2.0,13.8
T319,Kris Dunn,LAC,G,66,18.9,5.4,2.9,3.8,1.0,0.4,0.6,47.0,68.8,1.2,1.7,36.9,2.2,4.7,0.3,0.5,0.0,0.0,2.0,17.8
T319,Matisse Thybulle,POR,F,65,22.9,5.4,2.1,1.4,1.7,0.8,1.2,39.7,75.9,0.6,3.6,34.6,1.9,4.9,0.3,0.4,0.0,0.0,1.4,16.9
T319,Ricky Council,FA,F,32,9.0,5.4,1.4,0.5,0.3,0.0,0.4,48.2,74.6,0.2,1.0,37.5,1.7,3.5,1.7,2.2,0.0,0.0,0.5,8.6
T319,Dean Wade,CLE,F,54,20.6,5.4,4.0,0.8,0.7,0.5,1.5,41.4,76.9,0.4,3.7,39.1,1.8,4.3,0.4,0.5,0.0,0.0,1.7,14.7
T319,Matt Ryan,NYK,F,28,14.0,5.4,1.4,0.6,0.2,0.0,1.5,43.4,92.9,0.7,3.3,45.1,1.8,4.0,0.5,0.5,0.0,0.0,1.1,8.2
T319,Cam Reddish,FA,F,48,20.5,5.4,2.1,1.0,1.0,0.3,0.8,38.9,75.9,0.6,2.3,33.6,1.9,4.9,0.9,1.1,0.0,0.0,1.3,12.6
T319,Sasha Vezenkov,FA,F,42,12.2,5.4,2.3,0.5,0.5,0.2,1.1,44.0,80.0,0.3,2.9,37.5,2.0,4.5,0.3,0.4,0.0,0.0,1.0,10.4
T327,Nicolas Batum,LAC,F,60,25.4,5.3,4.1,2.1,0.8,0.6,1.2,45.3,71.4,0.7,3.1,39.5,1.9,4.3,0.3,0.4,0.0,0.0,1.8,17.1
T327,Seth Curry,GSW,G,43,14.3,5.3,1.6,1.0,0.5,0.1,0.9,39.2,90.3,0.5,2.5,35.2,1.9,4.7,0.7,0.7,0.0,0.0,0.9,10.2
T327,Darius Bazley,FA,F,9,16.7,5.3,3.1,0.8,0.7,0.8,0.2,60.0,83.3,0.9,0.9,25.0,2.0,3.3,1.1,1.3,0.0,0.0,0.3,13.7
T327,Mason Plumlee,CHA,C,46,14.6,5.3,5.1,1.2,0.3,0.4,0.0,56.9,70.7,0.8,0.1,0.0,1.9,3.3,1.5,2.2,0.0,0.0,1.5,14.4
T327,Xavier Tillman,BOS,F,54,18.1,5.3,3.9,1.4,0.9,0.8,0.4,43.4,44.0,0.6,1.5,24.7,2.2,5.2,0.4,0.9,0.0,0.0,1.4,16.7
T327,Davion Mitchell,MIA,G,72,15.3,5.3,1.3,1.9,0.2,0.0,0.8,45.2,71.4,0.6,2.2,36.1,2.0,4.5,0.4,0.6,0.0,0.0,1.2,9.9
T327,Stanley Umude,SAS,G,24,12.8,5.3,2.1,0.5,0.3,0.3,1.0,44.0,90.6,0.6,2.2,45.3,1.5,3.5,1.2,1.3,0.0,0.0,1.7,9.8
T327,Luke Kornet,SAS,C,63,15.7,5.3,4.1,1.1,0.4,1.0,0.0,70.0,90.7,0.3,0.0,100.0,2.3,3.2,0.8,0.9,0.0,0.0,1.2,15.5
T335,Bol Bol,FA,F,43,10.9,5.2,3.2,0.4,0.2,0.6,0.5,61.6,78.9,0.4,1.2,42.3,2.2,3.5,0.3,0.4,0.0,0.0,1.0,11.6
T335,Brandon Boston,FA,F,32,10.7,5.2,1.6,0.4,0.3,0.3,0.4,40.4,69.7,0.8,1.6,26.9,2.0,5.0,0.7,1.0,0.0,0.0,1.3,8.8
T335,Jarred Vanderbilt,LAL,F,29,20.1,5.2,4.8,1.2,1.2,0.2,0.3,51.8,66.7,1.0,0.9,29.6,2.0,3.9,0.8,1.2,0.0,0.0,1.5,16.0
T335,Aleksej Pokusevski,FA,F,28,14.6,5.2,3.2,1.3,0.5,0.5,0.6,40.5,73.2,0.7,2.0,32.7,1.8,4.3,1.1,1.5,0.0,0.0,0.8,13.2
T339,Bryce McGowens,NOP,G,59,14.9,5.1,1.7,0.9,0.4,0.2,0.6,43.9,77.6,0.5,1.7,33.3,1.7,3.9,1.1,1.4,0.0,0.0,1.3,9.6
T339,Drew Eubanks,SAC,C,75,15.5,5.1,4.3,0.8,0.4,0.8,0.0,60.1,77.4,0.8,0.0,100.0,2.0,3.4,1.0,1.2,0.0,0.0,1.5,14.2
T341,Jevon Carter,CHI,G,72,13.9,5.0,0.8,1.3,0.5,0.2,1.1,37.8,57.1,0.5,3.3,32.9,1.9,5.1,0.1,0.1,0.0,0.0,1.0,9.6
T341,Monte Morris,FA,G,33,14.4,5.0,1.7,2.1,0.6,0.3,0.8,40.5,68.4,0.2,2.1,38.6,1.9,4.6,0.4,0.6,0.0,0.0,0.4,12.5
T341,Devonte' Graham,FA,G,23,13.7,5.0,1.6,2.1,0.4,0.1,1.1,35.2,81.3,0.7,3.6,30.1,1.7,4.7,0.6,0.7,0.0,0.0,0.6,10.7
T341,Isaiah Livers,PHO,F,23,20.4,5.0,2.1,1.1,0.6,0.2,1.0,34.5,66.7,0.7,3.3,28.6,1.7,5.0,0.5,0.8,0.0,0.0,1.9,10.7
T341,Richaun Holmes,FA,C,40,13.9,5.0,4.6,0.6,0.3,0.5,0.0,55.8,72.3,0.6,0.1,33.3,2.1,3.7,0.9,1.2,0.1,0.0,1.9,13.0
T341,Kobi Simmons,FA,G,4,16.8,5.0,1.8,3.0,1.5,0.5,0.5,42.9,0.0,0.3,2.0,25.0,2.3,5.3,0.0,0.0,0.0,0.0,1.3,17.4
T341,D.J. Wilson,FA,C,2,8.0,5.0,1.0,1.0,0.0,1.0,1.0,66.7,0.0,0.0,1.0,100.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,10.7
T341,Goga Bitadze,ORL,C,62,15.4,5.0,4.6,1.3,0.5,1.2,0.0,60.3,65.5,0.7,0.2,14.3,2.0,3.4,0.9,1.4,0.1,0.0,1.7,16.8
T341,Jalen Wilson,BKN,F,43,15.5,5.0,3.0,1.0,0.3,0.1,0.6,42.5,82.6,0.4,1.7,32.4,1.8,4.2,0.9,1.1,0.0,0.0,1.1,10.8
T350,Garrison Mathews,NYK,G,66,15.0,4.9,1.4,0.6,0.3,0.1,1.3,45.6,81.0,0.3,2.9,44.0,1.6,3.4,0.5,0.6,0.0,0.0,1.8,8.4
T350,Jared Rhoden,TOR,F,17,14.5,4.9,1.9,0.8,0.2,0.8,0.7,50.0,62.5,0.4,1.8,38.7,1.9,3.9,0.3,0.5,0.0,0.0,1.6,10.9
T350,Jock Landale,MEM,C,56,13.6,4.9,3.1,1.2,0.4,0.6,0.2,51.5,80.0,0.6,0.7,25.0,1.9,3.7,0.9,1.2,0.0,0.0,1.3,12.6
T353,Kobe Bufkin,BKN,G,17,11.6,4.8,1.9,1.6,0.4,0.3,0.5,37.0,50.0,0.6,2.4,22.5,2.0,5.4,0.2,0.5,0.0,0.0,1.2,11.0
T353,Eugene Omoruyi,FA,F,43,9.1,4.8,2.0,0.8,0.6,0.1,0.3,48.5,65.3,0.5,1.1,28.3,1.9,3.9,0.7,1.1,0.0,0.0,1.4,10.2
T353,DeJon Jarreau,FA,G,9,16.7,4.8,4.9,2.9,0.7,0.2,0.4,34.0,45.5,1.0,1.4,30.8,1.9,5.6,0.6,1.2,0.0,0.0,1.6,16.6
356,Kenrich Williams,OKC,F,69,14.9,4.7,3.0,1.3,0.6,0.1,0.8,46.8,50.0,0.5,2.0,39.7,1.9,4.1,0.1,0.2,0.0,0.0,1.5,11.9
T357,Josh Okogie,HOU,F,60,16.0,4.6,2.6,1.1,0.8,0.4,0.5,41.7,74.5,0.6,1.6,30.9,1.4,3.4,1.3,1.7,0.0,0.0,1.1,12.3
T357,Jontay Porter,FA,C,25,14.4,4.6,3.3,2.4,0.8,0.8,0.8,38.5,83.3,0.8,2.4,33.3,1.6,4.2,0.6,0.7,0.0,0.0,1.4,16.1
T357,Anthony Black,ORL,G,69,16.8,4.6,2.0,1.3,0.5,0.3,0.5,46.6,61.3,0.8,1.4,39.4,1.7,3.6,0.7,1.2,0.0,0.0,1.6,10.6
T357,Omer Yurtseven,FA,C,48,11.4,4.6,4.3,0.6,0.2,0.4,0.1,53.8,67.9,0.8,0.5,20.8,2.1,3.8,0.4,0.6,0.0,0.0,1.1,11.6
T357,Kenneth Lofton,FA,C,21,9.4,4.6,1.8,1.6,0.3,0.2,0.3,46.2,65.4,0.7,1.1,29.2,1.7,3.7,0.8,1.2,0.0,0.0,1.1,10.0
T362,Julian Strawther,DEN,F,50,10.9,4.5,1.2,0.9,0.3,0.1,0.8,36.9,71.0,0.5,2.8,29.7,1.6,4.4,0.4,0.6,0.0,0.0,1.1,8.4
T362,Kevon Looney,NOP,C,74,16.1,4.5,5.7,1.8,0.4,0.4,0.0,59.7,67.5,0.7,0.0,0.0,1.9,3.1,0.8,1.1,0.0,0.0,2.1,15.6
T362,Shake Milton,FA,G,48,12.1,4.5,1.6,1.3,0.4,0.1,0.4,40.5,81.6,0.6,1.3,28.1,1.6,4.1,0.8,1.0,0.0,0.0,1.1,9.2
T362,Taze Moore,FA,G,4,10.0,4.5,2.0,1.3,0.5,0.0,0.3,42.1,50.0,0.8,1.8,14.3,2.0,4.8,0.3,0.5,0.0,0.0,1.0,9.5
T362,Delon Wright,IND,G,47,15.8,4.5,1.8,2.5,1.1,0.2,0.5,39.4,82.2,0.3,1.4,36.8,1.6,4.0,0.8,1.0,0.0,0.0,0.7,14.3
T362,AJ Green,MIL,G,56,10.9,4.5,1.1,0.5,0.2,0.1,1.2,42.3,89.5,0.2,3.0,40.8,1.5,3.5,0.3,0.3,0.0,0.0,0.9,7.2
T368,Robert Covington,FA,F,29,16.8,4.4,3.3,0.8,1.3,0.6,0.7,43.9,84.6,0.4,1.9,33.9,1.5,3.4,0.8,0.9,0.0,0.0,1.9,15.2
T368,Dominick Barlow,PHI,C,33,12.7,4.4,3.4,1.1,0.4,0.4,0.1,49.6,69.0,0.3,0.3,33.3,1.7,3.4,0.9,1.3,0.0,0.0,1.4,12.2
T368,Mo Bamba,UTA,C,57,12.9,4.4,4.2,0.7,0.4,1.1,0.4,49.0,68.0,0.7,1.1,39.1,1.7,3.5,0.6,0.9,0.0,0.0,1.8,14.2
T368,Blake Wesley,POR,G,61,14.4,4.4,1.5,2.7,0.5,0.1,0.2,47.4,66.7,0.9,0.9,21.8,1.7,3.5,0.9,1.3,0.0,0.0,1.5,11.3
T368,Joe Ingles,MIN,F,68,17.1,4.4,2.1,3.0,0.6,0.1,1.0,43.6,82.4,1.0,2.4,43.5,1.5,3.3,0.4,0.5,0.0,0.0,1.3,12.5
T368,Ben Sheppard,IND,G,57,14.3,4.4,1.6,0.9,0.6,0.0,0.9,39.3,88.5,0.3,2.7,31.4,1.6,4.0,0.4,0.5,0.0,0.0,1.5,9.3
T368,Maxi Kleber,LAL,C,43,20.2,4.4,3.3,1.6,0.4,0.7,0.7,43.2,70.2,0.7,2.1,34.8,1.5,3.4,0.8,1.1,0.0,0.0,1.8,13.4
T368,Patrick Baldwin,LAC,F,38,12.9,4.4,3.2,0.8,0.5,0.4,0.8,38.1,67.9,0.5,2.6,32.0,1.6,4.1,0.5,0.7,0.1,0.0,1.5,11.6
T368,MarJon Beauchamp,FA,F,48,12.6,4.4,2.1,0.6,0.3,0.1,0.6,48.8,67.9,0.6,1.6,40.0,1.7,3.5,0.4,0.6,0.0,0.0,1.1,8.5
T368,Bismack Biyombo,SAS,C,40,19.8,4.4,5.2,1.3,0.3,0.9,0.0,56.5,48.1,1.1,0.0,0.0,1.9,3.3,0.7,1.4,0.1,0.0,2.2,15.2
T368,Lester Quinones,ORL,G,37,10.6,4.4,1.9,1.0,0.2,0.1,0.9,39.7,69.0,0.5,2.4,36.4,1.5,3.8,0.5,0.8,0.0,0.0,1.2,8.4
T379,Jeff Dowtin,FA,G,12,11.8,4.3,1.7,2.3,0.6,0.1,0.8,55.6,75.0,0.4,1.6,47.4,1.7,3.0,0.3,0.3,0.0,0.0,0.1,11.3
T379,Dru Smith,MIA,G,9,14.4,4.3,1.6,1.6,1.0,0.3,0.8,45.5,100.0,0.6,1.9,41.2,1.7,3.7,0.2,0.2,0.0,0.0,1.3,12.0
T379,Jaxson Hayes,LAL,C,70,12.5,4.3,3.0,0.5,0.5,0.4,0.0,72.0,62.2,0.6,0.1,0.0,1.8,2.5,0.7,1.2,0.0,0.0,1.8,10.7
T379,Caleb Houstan,ATL,F,59,13.8,4.3,1.4,0.5,0.3,0.1,1.2,38.8,80.8,0.3,3.3,37.3,1.4,3.5,0.4,0.4,0.0,0.0,1.0,7.4
T379,John Konchar,MEM,F,55,21.4,4.3,4.7,2.0,0.9,0.9,0.7,42.3,84.0,0.8,2.2,31.7,1.6,3.8,0.4,0.5,0.0,0.0,1.4,17.6
T384,Jacob Gilyard,FA,G,41,17.0,4.2,1.1,3.3,0.8,0.1,1.2,40.0,100.0,0.7,3.1,40.5,1.5,3.7,0.0,0.0,0.0,0.0,1.0,12.6
T384,Ashton Hagans,FA,G,19,16.6,4.2,2.4,2.8,0.6,0.5,0.4,40.8,82.4,1.6,1.3,32.0,1.5,3.7,0.7,0.9,0.0,0.0,2.1,12.9
T384,Troy Brown,FA,F,59,14.0,4.2,2.4,1.0,0.4,0.1,0.8,37.2,86.5,0.5,2.4,33.3,1.4,3.8,0.5,0.6,0.0,0.0,0.7,9.5
T384,Thaddeus Young,FA,F,33,13.4,4.2,3.1,1.7,0.7,0.2,0.0,60.2,40.0,0.5,0.2,14.3,2.0,3.3,0.2,0.5,0.0,0.0,1.5,12.6
T384,Max Christie,DAL,G,67,14.1,4.2,2.1,0.9,0.3,0.3,0.6,42.7,78.3,0.5,1.8,35.6,1.5,3.6,0.5,0.7,0.0,0.0,0.9,9.3
T384,Danuel House,FA,F,34,14.9,4.2,1.7,0.8,0.4,0.1,0.4,44.8,76.1,0.6,1.5,30.0,1.4,3.1,1.0,1.4,0.0,0.0,1.3,8.7
T384,Armoni Brooks,FA,G,10,10.3,4.2,1.8,0.5,0.1,0.1,1.1,32.6,50.0,0.3,3.2,34.4,1.5,4.6,0.1,0.2,0.0,0.0,0.3,7.4
T391,Luka Samanic,FA,F,43,9.4,4.1,2.4,0.4,0.1,0.2,0.3,38.0,78.6,0.7,1.5,20.3,1.4,3.7,1.0,1.3,0.0,0.0,0.7,7.8
T391,Jae'Sean Tate,HOU,F,65,15.9,4.1,3.0,1.0,0.6,0.2,0.4,47.2,66.7,0.6,1.2,29.9,1.7,3.5,0.4,0.6,0.0,0.0,2.1,11.3
T391,Skylar Mays,FA,G,38,11.4,4.1,1.1,2.2,0.6,0.1,0.4,39.6,76.5,0.5,1.4,29.6,1.7,4.2,0.3,0.4,0.1,0.0,0.7,10.2
T391,Sandro Mamukelashvili,TOR,C,46,9.8,4.1,3.2,1.1,0.2,0.3,0.4,47.1,73.5,0.4,1.4,29.7,1.6,3.4,0.5,0.7,0.1,0.0,0.8,10.4
T395,Adama Sanogo,FA,C,9,7.3,4.0,4.0,0.0,0.1,0.0,0.0,51.9,66.7,0.6,0.0,0.0,1.6,3.0,0.9,1.3,0.1,0.0,0.6,8.6
T395,Matt Hurt,FA,C,8,14.0,4.0,2.0,0.5,0.4,0.4,0.6,35.3,100.0,0.3,2.5,25.0,1.5,4.3,0.4,0.4,0.0,0.0,1.0,9.2
T395,Justin Holiday,FA,F,58,14.9,4.0,1.2,1.2,0.6,0.2,0.9,45.4,75.0,0.2,2.3,40.4,1.5,3.3,0.1,0.1,0.0,0.0,1.2,9.3
T395,Luka Garza,BOS,C,25,4.8,4.0,1.2,0.2,0.2,0.0,0.4,48.0,72.0,0.2,1.3,28.1,1.4,3.0,0.7,1.0,0.0,0.0,1.0,6.0
T395,JaVale McGee,FA,C,46,7.4,4.0,2.7,0.4,0.3,0.4,0.0,59.8,57.8,0.7,0.2,14.3,1.7,2.9,0.6,1.0,0.0,0.0,1.0,9.3
T395,Mouhamed Gueye,ATL,F,6,12.2,4.0,3.7,0.7,0.8,0.7,0.5,34.8,83.3,0.2,1.5,33.3,1.3,3.8,0.8,1.0,0.0,0.0,2.2,13.7
T395,Svi Mykhailiuk,UTA,G,41,10.1,4.0,1.2,0.9,0.3,0.0,1.0,41.6,66.7,0.3,2.6,38.9,1.4,3.3,0.1,0.2,0.0,0.0,0.5,7.3
T395,Ousmane Dieng,OKC,F,33,11.1,4.0,1.5,1.1,0.2,0.2,0.6,42.2,87.5,0.6,2.1,30.0,1.5,3.5,0.4,0.5,0.0,0.0,0.7,8.2
T395,Rayan Rupert,POR,G,39,16.3,4.0,2.4,1.6,0.3,0.1,0.7,33.5,76.0,0.8,2.0,35.9,1.4,4.1,0.5,0.6,0.0,0.0,1.4,9.5
T395,Izaiah Brockington,FA,G,1,3.0,4.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,6.4
T395,Jaylin Williams,OKC,C,69,13.0,4.0,3.4,1.6,0.4,0.4,0.8,41.7,80.5,0.5,2.1,36.8,1.4,3.3,0.5,0.6,0.0,0.0,1.4,12.4
T395,Patty Mills,FA,G,32,13.0,4.0,1.1,1.1,0.6,0.0,0.8,35.1,100.0,0.5,2.7,27.6,1.4,4.1,0.3,0.3,0.0,0.0,1.0,8.3
T407,DeAndre Jordan,FA,C,36,11.0,3.9,4.4,0.7,0.2,0.4,0.0,62.4,49.1,0.6,0.0,0.0,1.6,2.6,0.7,1.5,0.0,0.0,1.6,11.5
T407,Chris Duarte,FA,F,59,12.2,3.9,1.8,0.7,0.5,0.1,0.7,38.1,78.8,0.4,2.2,34.6,1.4,3.6,0.4,0.6,0.0,0.0,1.4,8.6
T407,Jules Bernard,MIN,G,19,7.8,3.9,1.4,0.8,0.2,0.1,0.6,45.3,55.6,0.4,1.5,37.9,1.5,3.4,0.3,0.5,0.0,0.0,0.7,7.0
T410,Sidy Cissoko,POR,G,12,11.7,3.8,1.8,0.8,0.6,0.3,0.1,48.5,80.0,0.3,1.0,8.3,1.3,2.8,1.0,1.3,0.0,0.0,1.5,9.5
T410,Anthony Gill,WAS,F,50,9.4,3.8,1.9,0.7,0.3,0.2,0.2,46.9,80.6,0.5,0.8,24.4,1.5,3.2,0.6,0.7,0.0,0.0,1.0,8.0
T412,Oshae Brissett,FA,F,55,11.4,3.7,2.9,0.8,0.3,0.1,0.3,44.4,60.2,0.4,1.0,27.3,1.2,2.8,0.9,1.5,0.0,0.0,1.0,9.5
T412,KJ Martin,FA,F,60,12.4,3.7,2.2,0.9,0.4,0.2,0.1,53.6,53.7,0.5,0.5,28.6,1.6,3.0,0.4,0.7,0.0,0.0,1.7,8.8
T412,T.J. Warren,FA,F,11,11.3,3.7,2.0,0.8,0.4,0.1,0.2,43.9,75.0,0.4,1.2,15.4,1.6,3.7,0.3,0.4,0.0,0.0,1.0,8.4
T412,Keita Bates-Diop,FA,F,53,12.6,3.7,2.1,0.7,0.5,0.4,0.4,43.4,76.2,0.3,1.3,30.4,1.4,3.1,0.6,0.8,0.0,0.0,0.7,9.7
T412,Jamal Cain,ORL,F,26,9.9,3.7,1.4,0.4,0.4,0.2,0.4,43.0,78.3,0.3,1.2,35.5,1.3,3.0,0.7,0.9,0.0,0.0,0.8,7.4
T412,Drew Peterson,CHA,F,3,7.7,3.7,0.3,0.3,0.7,0.0,1.0,66.7,0.0,0.3,1.7,60.0,1.3,2.0,0.0,0.0,0.0,0.0,0.3,6.2
T418,Collin Gillespie,PHO,G,24,9.5,3.6,0.9,1.1,0.5,0.0,0.6,46.4,66.7,0.6,1.6,39.5,1.3,2.9,0.3,0.5,0.0,0.0,1.0,7.4
T418,James Bouknight,FA,G,14,5.8,3.6,0.6,0.4,0.1,0.1,0.9,43.9,50.0,0.1,2.1,43.3,1.3,2.9,0.1,0.1,0.0,0.0,0.2,5.3
