,,,,,,,,,,,,,,,
Rank,Name,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Status,Injury
103,Kristaps Porzingis,ATL,C,59,28.0,18.2,6.4,1.8,0.7,1.5,2.2,48.0,83.1,,
104,Zaccharie Risacher,ATL,F,75,29.0,16.3,4.6,1.7,0.9,0.6,2.2,47.9,73.0,,
105,Christian Braun,DEN,G,77,33.0,15.3,5.1,2.6,1.0,0.5,1.3,54.5,80.1,,
106,Isaiah Collier,UTA,G,74,28.5,10.6,3.7,7.1,1.1,0.2,0.8,44.5,68.4,,Hamstring
107,Aaron Nesmith,IND,F,69,30.0,14.5,4.8,1.7,1.0,0.6,2.2,47.3,85.2,,
108,Malik Monk,SAC,G,70,26.0,13.6,2.7,5.1,0.7,0.4,1.9,44.2,83.1,,Calf
109,Rudy Gobert,MIN,C,74,33.2,12.4,10.9,1.8,0.7,1.9,0.0,66.3,66.9,,
110,Moses Moody,GS,F,71,30.0,14.3,4.2,1.9,1.2,0.5,2.4,44.7,77.9,,
111,Toumani Camara,POR,F,75,29.0,11.2,5.5,2.0,1.5,0.6,1.7,47.0,74.0,,
112,Keon Ellis,SAC,G,72,25.9,9.6,2.8,2.0,1.6,0.9,2.0,47.4,82.4,,
113,Quentin Grimes,PHI,G,65,29.0,15.4,4.1,3.2,0.9,0.4,2.3,46.6,76.7,,Personal
114,Herbert Jones,NOR,F,70,30.0,11.5,3.8,2.6,1.6,0.7,1.4,46.3,81.9,,Ankle
115,Nikola Vucevic,CHI,C,71,32.1,17.3,9.8,3.1,0.8,0.7,1.3,49.2,82.5,,
116,Naz Reid,MIN,C,75,27.5,14.8,6.1,2.5,0.8,1.1,2.2,46.9,75.0,,
117,Donovan Clingan,POR,C,70,27.7,9.7,10.0,1.9,0.7,2.2,0.3,56.1,60.2,,
118,Aaron Gordon,DEN,F,68,30.4,14.7,5.5,3.3,0.7,0.5,1.4,52.3,77.0,,
119,Scotty Pippen,MEM,G,69,21.9,10.7,3.3,4.4,1.4,0.4,1.2,48.7,72.9,,
120,Jalen Duren,DET,C,72,29.0,12.8,11.6,2.9,0.7,1.3,0.0,64.9,69.0,,
121,Bennedict Mathurin,IND,F,73,30.0,17.8,5.4,2.3,0.8,0.3,1.5,45.1,82.9,,
122,Kyshawn George,WAS,F,70,27.0,9.8,4.3,2.7,1.1,0.8,1.9,39.0,79.6,,
123,Bradley Beal,LAC,G,55,29.0,15.3,3.5,4.3,0.8,0.3,1.7,48.5,85.0,,Knee
124,Bub Carrington,WAS,G,79,30.0,12.0,5.1,4.5,0.8,0.2,1.8,42.3,82.7,,
125,Jabari Smith,HOU,F,72,31.0,13.2,7.1,1.2,0.6,0.8,1.9,44.3,83.5,,
126,Collin Sexton,CHR,G,69,25.9,16.6,2.6,4.0,0.7,0.2,1.5,47.9,86.0,,
127,Jrue Holiday,POR,G,65,30.0,10.8,4.0,4.2,1.0,0.4,1.7,45.5,83.8,,
128,Jaden McDaniels,MIN,F,74,32.0,12.5,6.1,1.4,1.1,0.9,1.3,48.9,73.8,,
129,Kel'el Ware,MIA,C,70,27.5,13.6,9.6,1.4,0.8,1.5,0.8,55.9,71.1,,
130,Jaylen Wells,MEM,F,75,31.0,14.4,5.3,2.5,0.8,0.2,2.3,44.7,82.9,,
131,Deandre Ayton,LAL,C,69,32.0,16.1,10.6,1.7,0.8,1.2,0.1,63.6,75.5,,
132,Lonzo Ball,CLE,G,55,23.0,8.7,4.3,4.6,1.3,0.5,1.9,38.5,78.6,,
133,Onyeka Okongwu,ATL,C,69,29.9,14.2,8.4,2.1,0.9,1.2,0.8,58.0,77.9,,
134,Mark Williams,PHO,C,60,28.0,14.8,10.4,2.2,0.8,1.4,0.0,62.0,80.7,,Rest
135,Draymond Green,GS,C,67,29.0,9.0,5.8,5.4,1.2,0.9,1.2,44.9,71.1,,
136,Cam Whitmore,WAS,F,68,23.3,16.0,4.7,1.8,0.9,0.5,2.3,44.9,72.8,,
137,Jarace Walker,IND,F,70,24.5,10.1,4.9,2.5,1.1,0.7,1.7,46.1,71.7,,
138,Nic Claxton,BRO,C,71,29.0,12.9,8.1,2.3,0.9,1.7,0.1,61.3,54.1,,
139,Jakob Poeltl,TOR,C,68,29.0,12.9,9.3,2.6,0.9,1.4,0.0,63.3,63.9,,
140,Chris Paul,LAC,G,68,25.0,7.4,3.3,6.0,1.0,0.2,1.5,42.0,86.7,,
141,Zach Edey,MEM,C,60,27.0,12.8,10.5,1.5,0.7,1.8,0.5,57.4,73.0,,Ankle
142,Ayo Dosunmu,CHI,G,70,27.4,12.4,3.0,3.9,0.8,0.4,1.4,49.6,80.9,,
143,Tobias Harris,DET,F,72,30.1,12.8,5.5,1.9,0.9,0.7,1.2,48.2,87.2,,
144,Anthony Black,ORL,G,75,24.0,11.2,2.9,3.4,1.2,0.7,1.0,45.5,75.9,,
145,Dereck Lively,DAL,C,65,26.0,10.6,8.6,2.6,0.7,1.8,0.0,71.9,60.9,,
146,Kon Knueppel,CHR,F,74,27.0,12.9,4.3,3.0,0.8,0.2,2.0,45.2,89.6,,
147,Isaiah Hartenstein,OKC,C,68,26.0,10.9,9.9,3.6,0.9,1.1,0.0,62.6,69.1,,Rest
148,Jarrett Allen,CLE,C,77,28.0,14.3,9.9,2.1,0.8,0.9,0.1,70.0,74.4,,
149,Norman Powell,MIA,G,65,29.8,17.6,3.0,1.9,0.8,0.3,2.3,47.5,81.0,,
150,Nikola Jovic,MIA,F,60,26.0,11.9,4.4,3.4,0.8,0.4,1.9,46.0,80.0,,
151,Egor Demin,BRO,G,70,27.0,11.0,4.6,4.1,0.9,0.3,1.9,39.3,72.4,,Foot
152,Jaime Jaquez,MIA,F,70,25.0,11.7,5.3,3.4,1.1,0.4,0.8,48.1,78.8,,
153,Jerami Grant,POR,F,59,30.0,13.7,3.3,2.1,0.7,0.7,2.2,41.5,82.3,,
154,Jeremy Sochan,SAN,F,69,27.1,12.6,6.5,2.7,0.9,0.5,0.7,52.4,73.8,,Undisclosed
155,Noah Clowney,BRO,F,65,25.6,12.1,5.1,1.3,0.6,0.8,2.2,42.5,81.6,,
156,P.J. Washington,DAL,F,69,25.9,12.0,4.9,1.8,0.9,0.8,1.7,44.9,70.6,,
157,Royce O'Neale,PHO,F,77,27.0,8.5,4.9,2.7,0.8,0.5,2.1,40.6,72.9,,
158,Jay Huff,IND,C,65,22.0,12.4,4.2,1.1,0.6,1.6,2.2,50.7,81.7,,
159,Luguentz Dort,OKC,F,71,28.5,10.1,4.1,1.7,1.1,0.5,2.3,43.1,77.0,,Rest
160,Gradey Dick,TOR,F,65,28.0,14.6,3.4,2.0,1.1,0.2,2.3,42.1,86.0,,
161,Ace Bailey,UTA,F,72,30.0,13.8,5.7,1.8,0.7,0.7,1.8,42.5,71.7,,
162,Taylor Hendricks,UTA,F,65,23.5,9.2,5.2,1.1,0.9,1.1,1.6,44.7,81.0,,
163,Dylan Harper,SAN,G,72,29.4,14.4,3.5,2.9,1.0,0.3,1.7,43.4,76.9,,Thumb
164,Alex Caruso,OKC,G,67,20.0,6.6,3.0,3.0,1.6,0.6,1.4,43.4,78.0,,Rest
165,Kyrie Irving,DAL,G,28,29.1,17.6,3.5,3.8,0.9,0.3,2.0,45.6,90.1,,Knee
166,Klay Thompson,DAL,F,70,27.0,13.4,3.0,1.9,0.6,0.3,2.9,41.3,90.9,,
167,Nickeil Alexander-Walker,ATL,G,76,26.2,9.6,3.1,2.8,0.9,0.5,1.8,43.3,78.2,,
168,Dillon Brooks,PHO,F,71,30.0,15.0,3.5,2.1,0.9,0.3,2.0,41.8,81.8,,
169,Aaron Wiggins,OKC,F,75,24.0,12.7,3.8,2.0,0.8,0.2,1.9,49.2,79.6,,
170,De'Andre Hunter,CLE,F,65,26.9,14.8,3.8,1.4,0.8,0.3,2.2,44.9,84.3,,
171,Khris Middleton,WAS,F,60,24.0,12.5,3.4,3.6,0.8,0.2,1.5,47.9,85.4,,
172,Tre Johnson,WAS,G,75,28.6,15.8,2.6,2.3,0.7,0.2,2.1,40.7,86.8,,
173,Jordan Clarkson,NY,G,69,23.8,14.1,2.9,3.3,0.7,0.2,1.8,42.2,83.0,,
174,Dejounte Murray,NOR,G,21,27.7,15.1,4.3,4.7,1.2,0.3,1.6,46.2,79.6,,Achilles
175,Tyus Jones,ORL,G,76,25.0,9.8,2.5,5.0,1.0,0.0,1.3,44.7,82.5,,
176,Ty Jerome,MEM,G,65,20.1,12.1,2.0,3.4,1.0,0.1,1.5,49.9,87.0,,
177,Kyle Filipowski,UTA,C,72,25.9,13.6,8.0,2.8,0.9,0.5,1.5,51.8,67.8,,Back
178,Obi Toppin,IND,F,80,22.5,11.4,4.5,1.6,0.5,0.6,1.6,52.3,78.3,,
179,Davion Mitchell,MIA,G,75,29.0,8.7,2.3,4.4,1.0,0.3,1.2,46.3,69.7,,Calf
180,Jared McCain,PHI,G,60,24.0,13.7,2.6,2.7,0.8,0.1,1.9,48.0,87.7,,Thumb
181,Gary Trent,MIL,G,69,27.8,12.6,2.5,1.5,1.1,0.2,2.5,42.4,81.7,,
182,Kris Dunn,LAC,G,66,24.0,6.1,3.1,2.9,1.7,0.5,1.0,44.2,68.8,,
183,Kentavious Caldwell-Pope,MEM,G,76,30.0,10.6,3.4,1.9,1.1,0.3,1.7,43.9,88.7,,
184,Max Strus,CLE,F,55,29.0,10.1,4.2,3.3,0.5,0.3,2.1,41.5,81.1,,Foot
185,Isaiah Joe,OKC,G,72,23.0,11.3,3.0,1.8,0.7,0.2,2.7,44.4,84.8,,
186,Max Christie,DAL,G,70,27.0,10.4,3.2,2.2,0.9,0.5,1.5,43.3,83.9,,
187,Dennis Schroder,SAC,G,70,23.8,11.0,2.3,4.3,0.7,0.1,1.3,42.5,84.4,,
188,Peyton Watson,DEN,F,72,24.5,8.4,4.3,1.6,0.6,1.3,0.7,46.0,68.4,,
189,Caris LeVert,DET,G,65,23.3,10.6,3.0,3.3,0.8,0.4,1.4,43.2,74.5,,
190,Russell Westbrook,,G,65,19.0,8.8,3.4,4.2,1.0,0.4,0.8,43.3,67.2,,Hand
191,Grayson Allen,PHO,G,67,26.0,10.1,3.2,2.3,0.7,0.3,2.0,46.9,88.0,,
192,Miles McBride,NY,G,64,23.7,10.6,2.1,2.6,1.0,0.2,2.0,43.7,83.8,,
193,Jonathan Kuminga,GS,F,68,26.0,14.2,4.3,2.0,0.8,0.4,0.9,47.5,72.1,,
194,Buddy Hield,GS,G,81,23.0,10.7,3.0,2.2,0.7,0.2,2.3,43.3,85.7,,
195,Chris Boucher,BOS,F,65,21.1,11.5,5.9,0.7,0.5,0.6,1.5,48.6,77.1,,
196,Grant Williams,CHR,F,70,27.0,9.3,4.5,1.8,0.5,0.6,1.5,44.5,77.6,,Knee
197,Collin Murray-Boyles,TOR,F,70,20.0,7.7,4.6,1.6,1.2,0.8,0.5,48.8,70.8,,
198,Yves Missi,NOR,C,75,28.0,10.2,9.0,1.5,0.6,1.5,0.0,57.7,63.9,,
199,Patrick Williams,CHI,F,70,25.0,8.7,4.1,1.7,0.8,0.8,1.3,42.5,75.0,,
200,Cedric Coward,MEM,G,70,25.5,10.3,3.6,2.6,0.5,0.4,1.6,43.7,84.1,,
201,Corey Kispert,WAS,F,75,24.9,12.1,2.7,1.7,0.5,0.3,2.0,48.7,81.3,,
202,AJ Green,MIL,G,69,26.0,9.8,2.9,1.8,0.6,0.2,2.7,42.7,86.0,,
203,Jose Alvarado,NOR,G,60,18.7,8.3,2.1,3.0,1.1,0.2,1.6,42.6,78.9,,Knee
204,Rui Hachimura,LAL,F,65,29.0,11.4,4.6,1.3,0.7,0.4,1.5,49.6,75.2,,
205,VJ Edgecombe,PHI,G,73,26.9,9.1,3.0,2.7,1.2,0.3,1.1,44.0,80.0,,
206,Kelly Oubre,PHI,F,65,26.0,11.0,4.6,1.1,1.0,0.4,1.3,44.6,76.2,,
207,Keldon Johnson,SAN,F,70,24.0,12.1,4.6,1.8,0.7,0.2,1.3,47.3,76.8,,
208,Taurean Prince,MIL,F,75,27.0,8.8,3.0,1.9,0.8,0.3,1.9,44.4,80.3,,
209,Kyle Anderson,UTA,F,70,20.0,7.1,3.8,3.0,0.8,0.6,0.4,48.4,69.7,,
210,Duncan Robinson,DET,F,70,23.4,10.4,2.3,2.1,0.5,0.2,2.4,43.3,87.9,,
211,Caleb Martin,DAL,F,65,22.0,8.7,4.0,1.8,0.9,0.5,1.1,44.3,78.4,,
212,Mouhamed Gueye,ATL,F,65,16.0,6.1,4.3,0.9,1.0,1.0,0.7,42.6,77.3,,
213,Jordan Hawkins,NOR,G,67,23.1,11.5,3.0,1.5,0.6,0.3,2.1,39.7,84.1,,
214,Jonathan Isaac,ORL,F,58,16.0,6.1,4.6,0.6,0.8,1.2,0.7,45.0,71.4,,
215,Neemias Queta,BOS,C,65,23.3,10.2,7.2,1.4,0.6,1.4,0.0,62.8,73.5,,
216,Isaiah Stewart,DET,F,65,19.0,5.5,5.3,1.7,0.4,1.1,0.3,52.9,74.4,,
217,Cole Anthony,MIL,G,65,18.0,9.7,3.1,2.6,0.6,0.4,1.1,43.3,85.0,,Undisclosed
218,Mike Conley,MIN,G,70,22.9,7.0,2.1,3.4,0.8,0.2,1.6,40.6,82.8,,Rest
219,Jeremiah Fears,NOR,G,72,24.0,12.2,3.4,2.4,0.8,0.1,1.1,40.9,83.6,,
220,Kevin Huerter,CHI,G,71,23.0,9.8,2.7,2.1,0.7,0.3,1.8,44.3,76.4,,
221,Tre Jones,CHI,G,70,19.8,6.9,2.7,4.4,0.8,0.1,0.5,49.7,85.7,,
222,Baylor Scheierman,BOS,G,60,20.2,7.9,3.7,2.0,0.9,0.2,1.6,39.8,85.1,,
223,Derrick Jones,LAC,F,70,23.3,9.4,3.4,0.8,0.9,0.6,0.9,52.1,72.8,,
224,Daniel Gafford,DAL,C,70,20.0,9.6,6.0,1.1,0.4,1.6,0.0,70.9,68.5,,Ankle
225,Walter Clayton,UTA,G,70,20.5,10.0,2.5,2.5,0.7,0.2,1.4,43.9,86.1,,
226,Luke Kennard,ATL,G,65,19.0,7.9,2.3,2.7,0.5,0.2,1.8,47.6,90.0,,
227,Marcus Smart,LAL,G,60,18.9,7.5,2.1,2.8,1.1,0.2,1.1,42.2,75.0,,Achilles
228,Malcolm Brogdon,NY,G,50,17.0,8.6,2.4,3.0,0.5,0.2,1.1,44.4,85.2,,
229,Harrison Barnes,SAN,F,81,27.0,11.5,3.2,1.2,0.6,0.1,1.7,46.3,82.7,,
230,Terry Rozier,MIA,G,60,18.0,9.5,2.3,2.5,0.7,0.2,1.2,44.4,83.2,,Hamstring
231,Asa Newell,ATL,F,65,17.3,8.2,4.0,0.7,0.6,1.0,0.5,51.3,75.2,,
232,Dorian Finney-Smith,HOU,F,68,24.0,7.1,3.4,1.4,0.7,0.5,1.5,43.1,70.7,,Ankle
233,Bones Hyland,MIN,G,50,15.2,7.8,2.2,2.3,0.5,0.2,1.5,41.6,84.6,,
234,Yang Hansen,POR,C,70,18.0,7.7,4.3,2.3,0.4,1.4,0.5,46.6,83.0,,
235,Brandon Williams,DAL,G,50,16.0,9.2,1.9,2.4,0.6,0.2,0.8,49.7,81.0,,Hamstring
236,Day'Ron Sharpe,BRO,C,60,19.0,8.8,7.4,1.9,0.8,1.0,0.3,53.1,71.7,,
237,Ronald Holland,DET,F,75,20.0,8.1,3.3,1.7,0.8,0.6,0.5,45.1,69.5,,
238,Bogdan Bogdanovic,LAC,G,65,19.3,8.8,2.1,2.0,0.7,0.2,1.6,43.0,88.9,,Hamstring
