"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Collin Sexton","CHA","PG,SG","15.1","2.2","3.5","0.1","0.7",".471",".856","1.4","75","24.9","1.9"
"Fred VanVleet","HOU","PG OUT","15.1","3.5","5.8","0.5","1.3",".405",".854","2.7","73","33.2","1.6"
"Tobias Harris","DET","PF,SF","14.6","6.1","2.4","0.7","1.0",".486",".874","1.3","76","31.9","1.3"
"Aaron Gordon","DEN","PF,C","14.5","5.7","3.2","0.5","0.7",".541",".716","1.1","76","30.5","1.4"
"Jarrett Allen","CLE","C","14.2","10.1","2.1","1.0","0.9",".667",".733","0.0","78","29.8","1.4"
"Jordan Clarkson","NYK","PG,SF,SG DTD","14.0","2.8","3.3","0.2","0.6",".423",".821","1.7","71","24.4","1.9"
"D'Angelo Russell","DAL","PG,SG","14.0","2.7","5.3","0.4","0.9",".435",".831","2.2","72","27.9","1.9"
"Payton Pritchard","BOS","PG","14.0","4.3","4.0","0.2","0.9",".461",".836","3.0","78","27.7","1.2"
"Amen Thompson","HOU","PF,PG,SF,SG","13.9","8.1","3.6","1.1","1.4",".557",".687","0.3","76","31.5","2.0"
"Bobby Portis Jr.","MIL","PF,C","13.8","8.1","1.7","0.4","0.7",".490",".802","1.1","73","25.9","1.1"
"Naz Reid","MIN","PF,C","13.8","5.7","1.9","0.9","0.7",".475",".745","2.0","78","25.5","1.4"
"Jalen Suggs","ORL","PG,SG DTD","13.6","3.6","3.2","0.9","1.5",".429",".811","1.9","72","28.1","2.2"
"Mark Williams","PHO","C G-League","13.6","9.3","2.0","1.2","0.8",".629",".773","0.0","70","26.3","1.4"
"Zaccharie Risacher","ATL","PF,SF,SG","13.5","3.9","1.3","0.5","0.7",".454",".716","1.8","76","26.2","1.3"
"Aaron Nesmith","IND","PF,SF DTD","13.4","4.6","1.7","0.6","1.0",".477",".853","2.1","73","30.0","1.0"
"Dillon Brooks","PHO","PF,SF,SG","13.3","3.3","2.1","0.2","0.8",".423",".815","2.2","76","31.0","1.1"
"P.J. Washington Jr.","DAL","PF,SF","13.3","5.8","2.1","0.9","0.9",".454",".719","1.6","73","30.0","1.5"
