,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T368,Jamal Cain,ORL,F,37,13.6,5.3,2.3,0.6,0.6,0.2,0.7,43.0,68.0,0.6,2.2,32.5,1.8,4.3,0.9,1.4,0.0,0.0,1.2,10.9
T368,Pat Connaughton,CHA,F,41,14.8,5.3,2.7,1.7,0.2,0.3,0.6,46.9,77.4,0.6,2.0,32.1,2.0,4.3,0.6,0.8,0.0,0.0,1.1,11.9
T368,Kobe Bufkin,BKN,G,10,12.3,5.3,2.1,1.7,0.3,0.2,0.4,38.3,72.2,0.8,1.9,21.1,1.8,4.7,1.3,1.8,0.0,0.0,0.9,11.1
T368,Ben Sheppard,IND,G,63,19.5,5.3,2.8,1.3,0.6,0.2,1.1,41.8,88.9,0.3,3.2,34.2,1.9,4.6,0.4,0.4,0.0,0.0,2.0,12.8
T368,Kevin Love,UTA,C,23,10.9,5.3,4.1,1.0,0.7,0.2,1.0,35.7,69.6,0.6,2.9,35.8,1.8,5.0,0.7,1.0,0.0,0.0,0.9,13.5
T373,Monte Morris,FA,G,45,12.7,5.2,1.5,1.6,0.4,0.1,0.7,42.6,85.7,0.5,1.9,36.0,1.8,4.3,0.8,0.9,0.0,0.0,0.5,10.5
T373,Jabari Walker,PHI,F,60,12.5,5.2,3.5,0.6,0.6,0.1,0.5,51.5,69.0,0.6,1.2,38.9,2.0,3.8,0.8,1.2,0.0,0.0,1.5,11.7
T375,Mitchell Robinson,NYK,C,17,17.1,5.1,5.9,0.8,0.9,1.1,0.0,66.1,68.4,0.6,0.0,0.0,2.2,3.3,0.8,1.1,0.1,0.0,1.5,18.8
T375,Alex Reese,FA,F,15,14.3,5.1,3.1,0.3,0.7,0.7,1.0,48.1,75.0,0.4,2.7,36.6,1.7,3.6,0.6,0.8,0.0,0.0,1.4,12.8
T375,Javonte Green,DET,F,68,18.5,5.1,3.2,0.8,1.0,0.5,0.7,42.9,72.4,0.5,2.1,32.6,1.8,4.2,0.8,1.1,0.0,0.0,1.4,14.0
T375,Bismack Biyombo,SAS,C,28,18.8,5.1,5.6,1.1,0.6,0.8,0.0,58.8,40.0,1.0,0.0,0.0,2.4,4.1,0.4,0.9,0.1,0.0,1.9,16.8
T379,Malaki Branham,WAS,G,47,9.1,5.0,1.1,0.8,0.2,0.0,0.7,45.8,81.8,0.7,1.8,40.5,1.9,4.0,0.6,0.7,0.0,0.0,0.6,7.6
T379,Neemias Queta,BOS,C,62,13.9,5.0,3.8,0.7,0.3,0.7,0.0,65.0,75.4,0.6,0.0,0.0,2.1,3.3,0.7,1.0,0.0,0.0,1.7,12.9
T379,Ben Simmons,FA,F,51,21.9,5.0,4.7,5.6,0.7,0.5,0.0,52.0,72.7,2.0,0.0,0.0,2.3,4.4,0.5,0.6,0.0,0.0,2.1,20.7
T379,Alondes Williams,FA,G,1,4.0,5.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.5
T379,Kai Jones,FA,C,40,11.7,5.0,3.1,0.6,0.4,0.6,0.0,79.8,71.9,0.5,0.1,20.0,2.2,2.7,0.6,0.8,0.0,0.0,1.3,12.0
T384,Lindy Waters,SAS,F,52,15.0,4.9,2.1,1.0,0.5,0.2,1.2,36.9,72.7,0.4,3.6,34.4,1.8,4.8,0.2,0.2,0.0,0.0,1.2,10.8
T384,Jaylen Martin,FA,F,16,15.0,4.9,2.8,1.1,0.6,0.0,0.4,41.9,90.0,0.8,1.4,30.4,1.9,4.6,0.6,0.6,0.0,0.0,0.9,10.7
T384,Trevelin Queen,FA,G,31,13.9,4.9,1.7,1.2,1.0,0.3,0.7,38.1,85.7,0.7,2.5,28.6,1.8,4.7,0.6,0.7,0.0,0.0,1.2,12.1
387,Jock Landale,MEM,C,42,11.8,4.8,3.3,0.9,0.3,0.2,0.3,53.3,67.5,0.5,0.6,42.3,1.9,3.6,0.6,1.0,0.0,0.0,1.2,11.1
T388,Taylor Hendricks,UTA,F,3,25.0,4.7,5.0,0.7,1.7,1.3,1.0,22.2,75.0,0.7,4.0,25.0,1.3,6.0,1.0,1.3,0.0,0.0,2.7,20.0
T388,Colin Castleton,ORL,C,26,16.5,4.7,4.7,1.1,0.3,0.4,0.1,46.9,76.3,0.9,0.6,12.5,1.8,3.8,1.1,1.5,0.0,0.0,2.0,13.2
T390,David Roddy,TOR,F,33,12.4,4.6,2.5,1.1,0.4,0.3,0.6,45.6,76.9,0.7,1.8,31.1,1.7,3.8,0.6,0.8,0.0,0.0,0.6,10.7
T390,Drew Eubanks,SAC,C,61,12.2,4.6,3.7,0.9,0.2,0.6,0.0,59.3,66.2,0.7,0.1,50.0,1.9,3.2,0.8,1.2,0.0,0.0,1.0,12.2
T390,Pelle Larsson,MIA,F,55,14.2,4.6,1.7,1.2,0.6,0.1,0.6,43.8,67.2,0.4,1.7,33.7,1.6,3.7,0.7,1.1,0.0,0.0,1.7,10.0
T390,Julian Phillips,CHI,F,79,14.2,4.6,2.1,0.5,0.5,0.3,0.6,44.6,78.9,0.3,1.9,32.7,1.6,3.6,0.8,1.0,0.0,0.0,1.4,9.8
T390,Cody Williams,UTA,F,50,21.1,4.6,2.3,1.2,0.5,0.3,0.7,32.3,72.5,0.9,2.7,25.9,1.7,5.1,0.6,0.8,0.0,0.0,1.9,10.5
T395,Kevon Looney,NOP,C,76,15.1,4.5,6.1,1.6,0.6,0.5,0.0,51.4,56.6,0.5,0.1,40.0,1.9,3.7,0.7,1.3,0.0,0.0,2.0,16.9
T395,Jett Howard,ORL,F,60,11.6,4.5,1.2,0.7,0.2,0.2,0.9,37.4,69.6,0.6,3.1,29.6,1.6,4.4,0.3,0.4,0.0,0.0,1.1,7.6
T395,Dalen Terry,CHI,F,73,13.5,4.5,1.7,1.3,0.6,0.2,0.5,44.8,71.0,0.7,1.4,35.6,1.6,3.7,0.7,0.9,0.0,0.0,1.6,10.2
T395,Rob Dillingham,MIN,G,49,10.6,4.5,1.0,2.0,0.4,0.0,0.5,44.1,53.3,1.1,1.5,33.8,1.9,4.3,0.2,0.3,0.0,0.0,0.8,8.9
T395,Mason Plumlee,CHA,C,74,17.5,4.5,6.1,1.8,0.4,0.6,0.0,61.9,64.8,0.8,0.1,0.0,1.7,2.7,1.1,1.7,0.0,0.0,2.1,17.0
T400,Reggie Jackson,FA,G,31,12.4,4.4,1.4,1.5,0.5,0.1,0.8,39.1,77.8,0.5,2.4,33.8,1.7,4.3,0.2,0.3,0.0,0.0,1.1,9.5
T400,Reed Sheppard,HOU,G,52,12.6,4.4,1.5,1.4,0.7,0.3,0.9,35.1,81.3,0.7,2.7,33.8,1.6,4.6,0.3,0.3,0.0,0.0,1.0,10.7
T400,Marvin Bagley,WAS,C,31,8.6,4.4,2.7,0.4,0.3,0.3,0.1,51.9,65.7,0.4,0.6,15.8,1.8,3.4,0.7,1.1,0.0,0.0,0.6,9.4
T400,Tony Bradley,IND,C,14,8.1,4.4,3.0,0.4,0.1,0.6,0.1,64.4,33.3,0.4,0.2,33.3,2.1,3.2,0.1,0.4,0.1,0.0,0.8,10.6
T400,Lamar Stevens,FA,F,17,9.1,4.4,2.2,0.5,0.3,0.2,0.5,46.0,72.7,0.6,1.6,29.6,1.7,3.7,0.5,0.6,0.0,0.0,0.9,8.6
T400,Charles Bassey,ATL,C,36,10.5,4.4,4.2,0.5,0.4,0.8,0.0,58.1,63.6,0.6,0.0,0.0,1.9,3.3,0.6,0.9,0.1,0.0,1.4,13.2
T406,Micah Potter,SAS,F,38,18.5,4.3,4.3,0.8,0.4,0.4,0.8,42.2,85.0,0.8,2.6,31.6,1.5,3.6,0.4,0.5,0.0,0.0,1.3,12.1
T406,Daniel Theis,FA,C,38,16.4,4.3,4.3,1.6,0.5,0.5,0.2,47.3,83.8,0.7,1.0,24.3,1.6,3.4,0.8,1.0,0.0,0.0,1.8,14.2
T406,Jevon Carter,CHI,G,36,8.9,4.3,1.1,1.1,0.4,0.1,1.0,37.7,80.0,0.3,2.9,33.3,1.5,4.1,0.2,0.3,0.0,0.0,0.4,8.2
T406,Terrence Shannon,MIN,F,32,10.6,4.3,1.5,1.0,0.2,0.2,0.3,48.2,81.0,0.5,1.0,35.5,1.7,3.6,0.5,0.7,0.0,0.0,0.8,8.2
T410,Wendell Moore,FA,F,36,13.9,4.2,2.6,1.2,0.6,0.1,0.4,46.8,81.8,0.8,1.1,34.1,1.6,3.5,0.5,0.6,0.0,0.0,0.9,10.4
T410,Oso Ighodaro,PHO,C,61,17.1,4.2,3.6,1.2,0.5,0.5,0.0,60.4,58.0,0.6,0.0,0.0,1.9,3.1,0.5,0.8,0.0,0.0,1.7,12.5
T410,Duop Reath,POR,C,46,10.3,4.2,2.0,0.6,0.3,0.3,0.7,42.2,90.9,0.3,2.3,32.1,1.5,3.6,0.4,0.5,0.0,0.0,0.9,8.8
T410,Mo Bamba,UTA,C,33,12.5,4.2,4.4,0.5,0.3,0.9,0.5,46.4,70.4,0.6,1.6,27.8,1.6,3.4,0.6,0.8,0.0,0.0,1.7,13.3
T410,Dominick Barlow,PHI,C,35,10.7,4.2,2.4,0.5,0.3,0.5,0.2,53.1,63.6,0.1,0.8,25.9,1.7,3.2,0.6,0.9,0.0,0.0,1.3,10.0
T410,Cam Spencer,MEM,G,25,10.0,4.2,1.2,1.4,0.4,0.0,0.8,41.5,100.0,0.2,2.1,36.5,1.4,3.3,0.8,0.8,0.0,0.0,0.9,8.7
T410,Kris Murray,POR,F,69,15.1,4.2,2.6,1.0,0.5,0.2,0.4,41.9,45.6,0.6,1.7,22.5,1.7,4.0,0.4,0.8,0.0,0.0,1.0,10.4
T410,Kessler Edwards,DEN,F,40,15.3,4.2,2.9,1.1,0.5,0.5,0.6,49.6,92.3,0.4,1.4,40.7,1.7,3.4,0.3,0.3,0.0,0.0,1.6,11.8
T410,Torrey Craig,FA,F,26,12.0,4.2,2.8,0.7,0.3,0.5,0.9,42.2,66.7,0.3,2.5,36.4,1.5,3.5,0.3,0.5,0.0,0.0,1.3,10.5
T419,Caleb Houstan,ATL,F,58,13.6,4.1,1.3,0.6,0.4,0.1,1.1,42.1,88.2,0.2,2.8,40.0,1.4,3.3,0.3,0.3,0.0,0.0,1.1,7.8
T419,Jaylen Clark,MIN,G,40,13.0,4.1,1.3,0.7,0.9,0.1,0.6,46.7,78.4,0.2,1.3,43.1,1.4,3.0,0.7,0.9,0.0,0.0,1.5,9.3
T419,Paul Reed,DET,C,45,9.7,4.1,2.7,1.0,0.9,0.6,0.2,50.7,76.2,0.6,0.6,28.6,1.6,3.2,0.7,0.9,0.0,0.0,1.7,12.5
T419,Jalen Pickett,DEN,G,49,13.5,4.1,1.4,2.2,0.4,0.1,0.8,42.8,75.0,0.5,2.1,39.6,1.6,3.7,0.1,0.2,0.0,0.0,0.8,10.1
T419,Jordan Miller,LAC,G,37,11.3,4.1,1.6,0.9,0.5,0.1,0.2,43.3,80.0,0.7,1.0,21.1,1.6,3.6,0.8,0.9,0.0,0.0,0.7,8.4
T419,Maxwell Lewis,FA,F,28,11.7,4.1,2.0,0.7,0.3,0.3,0.7,41.7,70.0,0.5,1.8,38.0,1.6,3.9,0.3,0.4,0.0,0.0,1.0,8.7
T419,Gui Santos,GSW,F,56,13.6,4.1,3.1,1.4,0.4,0.2,0.6,45.8,69.0,0.8,1.8,33.0,1.5,3.2,0.5,0.8,0.0,0.0,1.6,11.0
T419,Jarred Vanderbilt,LAL,F,36,16.1,4.1,5.1,1.1,1.0,0.3,0.3,48.8,55.6,0.8,0.9,28.1,1.6,3.4,0.6,1.0,0.0,0.0,1.9,14.8
T427,Ron Harper,BOS,F,1,17.0,4.0,7.0,2.0,0.0,0.0,0.0,12.5,100.0,0.0,6.0,0.0,1.0,8.0,2.0,2.0,0.0,0.0,0.0,15.4
T427,Josh Richardson,FA,G,8,18.6,4.0,1.5,1.5,1.0,0.1,0.8,28.9,100.0,1.0,2.8,27.3,1.4,4.8,0.5,0.5,0.0,0.0,2.1,10.4
T427,Colby Jones,DET,G,39,13.2,4.0,2.2,1.1,0.7,0.3,0.4,45.7,65.7,0.6,1.3,32.7,1.5,3.3,0.6,0.9,0.0,0.0,0.9,10.8
