ADP,Player,Team,Position(s),ADP.1,Min Pick,Max Pick
187,Tyus Jones,ORL,G,215.71,183,246
188,Yang Hansen,POR,C,216.71,172,188
189,Goga Bitadze,ORL,C,220.71,171,231
190,Kyrie Irving,DAL,G,221.0,130,266
191,Rui Hachimura,LAL,F,223.29,175,219
192,Kevin Huerter,CHI,G,234.71,176,191
193,Duncan Robinson,DET,F,236.0,176,201
194,Zach Collins,CHI,"F, C",236.29,179,199
195,Terrence Shannon,MIN,G,237.43,179,203
196,Alex Caruso,OKC,G,242.29,187,210
197,Moses Moody,GS,G,242.57,177,220
198,Jonas Valanciunas,DEN,C,244.57,167,172
199,Russell Westbrook,DEN,G,246.57,188,234
200,Walter Clayton,UTH,G,250.43,179,185
201,Jeremy Sochan,SA,F,250.57,173,194
202,Luguentz Dort,OKC,F,251.86,172,199
203,Bruce Brown,DEN,G,254.57,174,207
204,Jaime Jaquez,MIA,F,255.14,182,200
205,Caris LeVert,DET,G,256.86,191,211
206,Dejounte Murray,NO,G,257.0,178,209
207,Khaman Maluach,PHO,C,257.57,189,212
208,Rob Dillingham,MIN,G,258.57,173,227
209,Jordan Clarkson,NY,G,258.57,188,228
210,Jarace Walker,IND,F,258.71,192,210
211,Ryan Rollins,MIL,G,260.0,185,223
212,Marcus Smart,LAL,G,261.57,189,225
213,Derik Queen,NO,C,262.57,183,233
214,Isaiah Joe,OKC,G,268.71,186,251
215,Chris Paul,LAC,G,268.71,187,245
216,Luke Kornet,SA,C,272.0,196,203
217,Nickeil Alexander-Walker,ATL,G,272.14,198,202
218,Guerschon Yabusele,NY,"F, C",272.43,193,209
219,Luka Garza,BOS,C,274.71,201,217
220,Noah Clowney,BKN,F,275.86,202,224
221,Ronald Holland,DET,F,276.14,206,222
222,Jaylin Williams,OKC,"F, C",276.43,214,216
223,Anthony Black,ORL,G,276.71,207,225
224,Max Christie,DAL,G,276.86,215,218
225,Kentavious Caldwell-Pope,MEM,G,277.29,197,239
226,Jeremiah Fears,NO,G,277.57,190,248
227,Saddiq Bey,NO,F,278.29,221,222
228,Jared McCain,PHI,G,278.86,223,224
229,Ziaire Williams,BKN,F,279.57,217,235
230,Sam Merrill,CLE,G,280.14,212,244
231,Cole Anthony,MIL,G,280.29,219,238
232,Peyton Watson,DEN,F,280.57,229,230
233,Jonathan Isaac,ORL,F,282.14,193,277
234,Royce O'Neale,PHO,F,282.29,221,250
235,Collin Murray-Boyles,TOR,F,282.57,232,241
236,Cedric Coward,MEM,G,282.71,215,259
237,Naji Marshall,DAL,F,282.86,232,243
238,Jake LaRavia,LAL,F,283.29,237,241
239,Tre Jones,CHI,G,283.86,235,247
240,Jusuf Nurkic,UTH,C,284.43,233,253
241,Robert Williams,POR,C,284.86,229,260
242,Kelly Olynyk,SA,"F, C",284.86,227,262
243,Justin Edwards,PHI,F,284.86,237,252
244,Nick Richards,PHO,"F, C",285.0,243,247
245,Tristan Vukcevic,WAS,C,285.0,242,248
246,Keldon Johnson,SA,F,285.43,236,257
247,Jayson Tatum,BOS,F,285.43,220,273
248,Aaron Holiday,HOU,G,285.71,230,265
249,Larry Nance,CLE,"F, C",285.71,234,261
250,Tre Mann,CHA,G,286.71,246,256
251,Jalen Smith,CHI,"F, C",286.86,228,275
252,Nique Clifford,SAC,G,287.29,226,280
253,Harrison Barnes,SA,F,287.71,249,260
254,Kevon Looney,NO,"F, C",287.86,236,274
255,Mike Conley,MIN,G,289.0,251,267
256,Gradey Dick,TOR,G,289.29,238,282
257,Matisse Thybulle,POR,G,289.43,250,271
258,AJ Green,MIL,G,289.57,254,268
259,Danny Wolf,BKN,C,289.57,239,283
260,Ben Sheppard,IND,G,289.86,231,293
261,Derrick Jones,LAC,F,289.86,254,270
262,Jamal Shead,TOR,G,290.0,249,276
263,Patrick Williams,CHI,F,290.14,253,273
264,Josh Minott,BOS,F,290.29,226,226
265,Kasparas Jakucionis,MIA,G,291.0,240,292
266,Max Strus,CLE,F,291.29,252,282
267,Jock Landale,MEM,C,291.57,261,275
268,Bogdan Bogdanovic,LAC,G,292.14,263,277
269,Miles McBride,NY,G,292.43,266,276
270,Sandro Mamukelashvili,TOR,"F, C",292.57,242,242
271,Tristan da Silva,ORL,F,292.71,255,289
272,Malcolm Brogdon,NY,G,292.71,272,272
273,Trendon Watford,PHI,F,292.86,244,244
274,Vince Williams,MEM,G,293.14,267,280
275,De'Anthony Melton,GS,G,293.14,258,289
276,GG Jackson,MEM,F,293.14,257,290
277,Justin Champagnie,WAS,F,293.29,263,285
278,Trayce Jackson-Davis,GS,"F, C",293.71,265,286
279,Mouhamed Gueye,ATL,F,294.14,255,299
280,Julian Champagnie,SA,F,294.57,256,256
281,Dorian Finney-Smith,HOU,F,294.71,274,284
282,Asa Newell,ATL,F,294.86,258,258
283,Jose Alvarado,NO,G,295.0,264,296
284,Collin Gillespie,PHO,G,295.0,259,259
285,Malik Beasley,DET,G,295.29,281,281
286,Clint Capela,HOU,C,295.43,262,262
287,Jaxson Hayes,LAL,C,295.71,264,264
288,Terance Mann,BKN,G,295.86,278,288
289,Johnny Furphy,IND,G,296.14,269,299
290,Nolan Traore,BKN,G,296.29,268,268
291,Kris Dunn,LAC,G,296.43,269,269
292,Tidjane Salaun,CHA,F,296.57,270,270
293,Brandon Clarke,MEM,F,296.71,271,271
294,Xavier Tillman,BOS,"F, C",297.57,283,295
295,Taurean Prince,MIL,F,297.57,284,294
296,Quinten Post,GS,F,297.71,278,278
297,Baylor Scheierman,BOS,G,297.86,279,279
298,Julian Strawther,DEN,G,297.86,279,279
299,Oso Ighodaro,PHO,F,298.43,287,297
300,Ajay Mitchell,OKC,G,298.71,285,285
301,Tim Hardaway,DEN,G,298.86,286,286
302,Corey Kispert,WAS,F,299.0,287,287
303,Luke Kennard,ATL,G,299.14,291,298
304,Nikola Topic,OKC,G,299.14,288,288
305,Joan Beringer,MIN,C,299.43,290,290
306,Jordan Hawkins,NO,G,299.57,291,291
307,Steven Adams,HOU,C,299.71,292,292
308,Marvin Bagley,WAS,"F, C",299.86,293,293
309,Jared Butler,PHO,G,300.0,294,294
310,Ben Saraf,BKN,G,300.14,295,295
311,Dalton Knecht,LAL,F,300.29,296,296
312,Grant Williams,CHA,F,300.43,297,297
313,Josh Okogie,HOU,G,300.57,298,298
314,Carter Bryant,SA,F,300.86,300,300
315,Karlo Matkovic,NO,F,300.86,300,300
