,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
102,Julian Champagnie,SAS,82,1933,815,318,111,61,35,178,41.5,90.4,-0.30,-0.73,-0.39,-1.03,-0.38,-0.26,0.81,-0.90,0.44
103,Collin Sexton,UTA,63,1761,1159,171,264,47,6,110,48.0,86.5,-0.31,0.14,-1.22,0.02,-0.92,-1.16,-0.14,0.00,0.84
104,Andrew Wiggins,GSW/MIA,60,1840,1078,269,158,60,50,130,44.8,76.3,-0.31,-0.07,-0.67,-0.71,-0.42,0.20,0.14,-0.57,-0.38
105,Kelly Oubre,PHI,60,2083,906,368,108,92,30,71,47.0,75.1,-0.31,-0.50,-0.11,-1.05,0.82,-0.42,-0.69,-0.15,-0.39
106,Naji Marshall,DAL,69,1916,914,328,208,70,11,60,50.8,81.3,-0.31,-0.48,-0.33,-0.37,-0.03,-1.00,-0.84,0.46,0.11
107,P.J. Washington,DAL,57,1833,836,442,131,63,60,91,45.3,72.2,-0.31,-0.67,0.31,-0.89,-0.30,0.51,-0.41,-0.36,-0.69
108,Buddy Hield,GSW,82,1867,912,264,134,69,23,203,41.7,82.8,-0.32,-0.48,-0.70,-0.87,-0.07,-0.63,1.16,-1.05,0.05
109,Harrison Barnes,SAS,82,2229,1011,310,136,39,14,156,50.8,80.9,-0.32,-0.23,-0.44,-0.86,-1.22,-0.91,0.50,0.44,0.13
110,Keyonte George,UTA,67,2104,1125,253,377,46,9,174,39.1,81.8,-0.33,0.05,-0.76,0.79,-0.95,-1.06,0.75,-1.77,0.33
111,Bub Carrington,WAS,82,2456,807,341,364,54,21,138,40.1,81.2,-0.33,-0.75,-0.26,0.70,-0.65,-0.69,0.25,-1.26,0.02
112,Kentavious Caldwell-Pope,ORL,77,2277,673,169,136,99,34,113,43.9,86.3,-0.33,-1.08,-1.23,-0.86,1.08,-0.29,-0.10,-0.43,0.26
113,Klay Thompson,DAL,72,1971,1005,246,145,50,30,216,41.2,90.5,-0.33,-0.25,-0.80,-0.79,-0.80,-0.42,1.34,-1.29,0.34
114,De'Andre Hunter,ATL/CLE,64,1740,1088,258,92,50,13,157,47.0,84.6,-0.33,-0.04,-0.73,-1.16,-0.80,-0.94,0.52,-0.15,0.63
115,Santi Aldama,MEM,65,1658,811,416,188,52,29,120,48.3,69.1,-0.33,-0.74,0.16,-0.50,-0.72,-0.45,0.00,0.07,-0.50
116,Aaron Wiggins,OKC,76,1746,914,295,134,60,18,130,48.8,83.1,-0.34,-0.48,-0.52,-0.87,-0.42,-0.79,0.14,0.14,0.11
117,Goga Bitadze,ORL,70,1435,502,463,137,49,98,3,61.1,63.9,-0.34,-1.51,0.43,-0.85,-0.84,1.68,-1.64,1.02,-1.01
118,Zach Edey,MEM,66,1418,610,548,65,36,85,18,58.0,70.9,-0.34,-1.24,0.91,-1.34,-1.34,1.28,-1.43,0.99,-0.55
119,Jrue Holiday,BOS,62,1899,686,264,239,66,27,108,44.3,90.9,-0.35,-1.05,-0.70,-0.15,-0.18,-0.51,-0.17,-0.41,0.37
120,Spencer Dinwiddie,DAL,79,2132,872,209,349,70,17,109,41.6,80.2,-0.35,-0.58,-1.01,0.60,-0.03,-0.82,-0.16,-0.91,0.09
121,T.J. McConnell,IND,79,1414,720,193,351,83,21,15,51.9,74.0,-0.36,-0.96,-1.10,0.61,0.47,-0.69,-1.48,0.56,-0.25
