,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
110,Isaiah Collier,UTA,12,30.3,13.2,4.0,6.8,1.3,0.3,0.9,44.9,75.0,-0.25,-0.65,-0.69,1.26,0.46,-0.57,-0.83,-0.54,-0.41
111,Al Horford,BOS,8,29.0,12.0,7.8,2.8,0.4,0.6,2.4,44.3,87.5,-0.25,-0.86,0.77,-0.55,-1.45,0.01,0.55,-0.56,0.11
112,Kai Jones,DAL/LAC,11,20.5,10.5,6.5,1.4,0.8,0.8,0.1,82.5,68.8,-0.25,-1.12,0.27,-1.17,-0.48,0.39,-1.62,2.25,-0.53
113,Jalen Brunson,NYK,4,34.3,21.0,1.5,5.8,0.5,0.5,3.0,43.5,75.0,-0.25,0.74,-1.66,0.81,-1.18,-0.24,1.15,-1.09,-0.55
114,Jonathan Mogbo,TOR,14,29.2,9.1,7.8,4.7,1.2,0.6,0.2,41.7,83.3,-0.26,-1.37,0.78,0.34,0.38,0.04,-1.50,-0.82,0.04
115,Jacob Toppin,ATL/NYK,1,27.0,17.0,4.0,2.0,0.0,0.0,5.0,50.0,0.0,-0.26,0.03,-0.69,-0.88,-2.27,-1.24,3.05,0.08,-0.18
116,Isaiah Stewart,DET,11,20.5,7.3,5.5,1.8,0.6,1.6,0.5,65.4,77.8,-0.27,-1.70,-0.12,-0.97,-0.88,2.02,-1.27,0.95,-0.17
117,Malik Monk,SAC,10,26.2,15.4,3.3,4.1,0.6,0.4,2.2,45.1,88.0,-0.28,-0.26,-0.96,0.06,-0.96,-0.44,0.39,-0.61,0.58
118,Chris Paul,SAS,17,26.5,8.9,3.6,5.6,1.1,0.5,1.6,46.0,80.0,-0.28,-1.41,-0.83,0.74,0.04,-0.18,-0.19,-0.24,-0.14
119,Jeff Dowtin,PHI,7,24.4,13.9,1.7,2.7,1.3,0.9,1.3,49.3,77.8,-0.29,-0.53,-1.58,-0.56,0.54,0.47,-0.48,0.00,-0.14
120,Pascal Siakam,IND,13,31.9,17.1,5.5,3.6,0.8,0.8,1.1,48.4,65.0,-0.29,0.04,-0.09,-0.15,-0.42,0.45,-0.68,-0.20,-1.23
121,Luguentz Dort,OKC,10,29.3,11.4,4.0,1.6,1.1,0.4,3.0,50.6,0.0,-0.29,-0.97,-0.69,-1.06,0.13,-0.44,1.15,0.15,-0.61
122,Tari Eason,HOU,12,24.8,11.3,6.5,1.8,1.3,0.8,0.9,47.9,70.6,-0.30,-0.99,0.28,-0.96,0.46,0.26,-0.83,-0.15,-0.44
